"ID","AcceptedTaxonID","Genus","SubGenusName","Species","AuthorString","InfraSpecies","InfraSpecificMarker","InfraSpecificAuthorString","GSDNameStatus","Sp2000NameStatus","GSDNameGUI"
4512,3374,"Pauroterga","","zamboangensis","Navasero, 2010","",,"","original combination, valid: No","Unambiguous Synonym",
4672,3424,"Trioza","","vitrioradiata","","",,"","original combination, valid: No","Unambiguous Synonym",
4525,3433,"Triozidus","","acanthopanaicis","Li, 1994","",,"","original combination, valid: No","Unambiguous Synonym",
4571,3671,"Euphalerus","","jugovenosus","Tuthill, 1937","",,"","original combination, valid: No","Unambiguous Synonym",
636,3672,"Euphalerus","","nepos","Bliven, 1956","",,"","original combination, valid: No","Unambiguous Synonym",
3035,343,"Aphalara","","curta","","californica",,"Caldwell, 1937","original combination, valid: No","Unambiguous Synonym",
401,359,"Aphalaroida","","intermedia","Klyver, 1931","",,"","original combination, valid: No","Unambiguous Synonym",
725,3250,"Trioza","","californica","Crawford, 1910","",,"","original combination, valid: No","Unambiguous Synonym",
4701,3250,"Triozoida","","californica","(Crawford, 1910)","",,"","new combination, valid: No","Unambiguous Synonym",
4349,3069,"Trisetrioza","","clavellata","Li, 1995","",,"","original combination, valid: No","Unambiguous Synonym",
4703,3250,"Trioza","","ichneumonia","","",,"","original combination, valid: No","Unambiguous Synonym",
2605,2171,"Kuwayama","","lavaterae","Van Duzee, 1924","",,"","original combination, valid: No","Unambiguous Synonym",
2607,2172,"Trioza","","maculipennis","Crawford, 1910","",,"","original combination, valid: No","Unambiguous Synonym",
4707,3253,"Chermes","","salicis","Linné, 1761","",,"","original combination, valid: No","Unambiguous Synonym",
4709,3234,"Trioza","","nigra","Crawford, 1910","",,"","original combination, valid: No","Unambiguous Synonym",
4710,3234,"Trioza","","assimilis","Crawford, 1910","",,"","original combination, valid: No","Unambiguous Synonym",
4711,3234,"Trioza","","nigrilla","Crawford, 1911","",,"","original combination, valid: No","Unambiguous Synonym",
4712,3234,"Trioza","","flori","Crawford, 1911","",,"","original combination, valid: No","Unambiguous Synonym",
4713,3234,"Trioza","","louisianae","Aulmann, 1912","",,"","original combination, valid: No","Unambiguous Synonym",
4714,3234,"Trioza","","pomonae","Aulmann, 1912","",,"","original combination, valid: No","Unambiguous Synonym",
4716,559,"Pachypsylla","Blastophysa","c-gemma","Riley, 1885","",,"","original combination, valid: No","Unambiguous Synonym",
247,3254,"Parapaurocephala","","longicella","(Tuthill, 1943)","",,"","new combination, valid: No","Unambiguous Synonym",
4687,4332,"Trioza","","magnicauda","Crawford","",,"","original combination, valid: No","Unambiguous Synonym",
248,3254,"Paurocephala","","longicella","Tuthill, 1943","",,"","original combination, valid: No","Unambiguous Synonym",
585,3255,"Choricymoza","","sequoiae","Bliven, 1955","",,"","original combination, valid: No","Unambiguous Synonym",
733,3252,"Trioza","","lobata","Crawford, 1914","",,"","original combination, valid: No","Unambiguous Synonym",
4725,3259,"Livilla","","hooleyi","Cockerell, 1921","",,"","original combination, valid: No","Unambiguous Synonym",
4736,3269,"Strophingia","","oligocaenica","Enderlein, 1915","",,"","original combination, valid: No","Unambiguous Synonym",
4698,3248,"Psylla","Acizzia","hakeae","Tuthill, 1952","",,"","original combination, valid: No","Unambiguous Synonym",
4784,3311,"Conicotrioa","","cylindrata","2005","",,"","original combination, valid: No","Unambiguous Synonym",
4786,1731,"Pennapsylla","","alba","Froggatt, 1923","",,"","original combination, valid: No","Unambiguous Synonym",
4797,3316,"Psylla","","allnicola","Li, 1992","",,"","original combination, valid: No","Unambiguous Synonym",
3160,956,"Psylla","","oleae","Boyer de Fonscolombe, 1840","",,"","original combination, valid: No","Unambiguous Synonym",
3626,427,"Cacopsylla","","sorbi","(Linné, 1758)","",,"","new combination, valid: No","Unambiguous Synonym",
4810,2558,"Cacopsylla","Hepatopsylla","pulchra","(Zetterstedt, 1838)","",,"","new combination, valid: No","Unambiguous Synonym",
1448,2567,"Cacopsylla","","pyri","(Linné, 1758)","",,"","new combination, valid: No","Unambiguous Synonym",
4054,2567,"Psylla","","pyri","(Linné, 1758)","",,"","new combination, valid: No","Unambiguous Synonym",
4811,1327,"Bactericera","","crithmi","(Low, 1877)","",,"","new combination, valid: No","Unambiguous Synonym",
4795,4403,"Euphalerus","","flavivittatus","Li, 1992","",,"","original combination, valid: No","Unambiguous Synonym",
4763,3342,"Vicinilura","","reposta","Klimaszewski, 1997","",,"","original combination, valid: No","Unambiguous Synonym",
4805,3338,"Rhinocola","","tamaricina","Loginova, 1960","",,"","original combination, valid: No","Unambiguous Synonym",
4755,3394,"Parapsyllopsis","","carabeus","Klimaszewski, 1997","",,"","original combination, valid: No","Unambiguous Synonym",
4759,3395,"Paropsylla","","olima","Klimaszewski, 1997","",,"","original combination, valid: No","Unambiguous Synonym",
4765,3396,"Succinopsylla","","dominicana","Klimaszewski, 1995","",,"","original combination, valid: No","Unambiguous Synonym",
4798,3413,"Neorhinopsylla","","taishanica","(Li, 1992)","",,"","new combination, valid: No","Unambiguous Synonym",
4813,526,"Heteropsylla","","texana","(Crawford, 1914)","",,"","new combination, valid: No","Unambiguous Synonym",
4814,524,"Heteropsylla","","mimosae","(Crawford, 1914)","",,"","new combination, valid: No","Unambiguous Synonym",
4815,560,"Psylla","","celtidis-mamma","Riley, 1881","",,"","original combination, valid: No","Unambiguous Synonym",
4816,560,"Psylla","","celtidismamma","Fletcher, 1883","",,"","original combination, valid: No","Unambiguous Synonym",
4818,560,"Pachypsylla","","celtidismamma","(Riley, 1881)","",,"","new combination, valid: No","Unambiguous Synonym",
4819,559,"Pachypsylla","","celtidisgemma","(Riley, 1885)","",,"","new combination, valid: No","Unambiguous Synonym",
4820,594,"Tetragonocephala","","flava","(Crawford, 1914)","",,"","new combination, valid: No","Unambiguous Synonym",
3278,1322,"Chermes","","aceris","Linné, 1758","",,"","original combination, valid: No","Unambiguous Synonym",
4822,1322,"Rhinicola","","aceris","(Linné, 1758)","",,"","new combination, valid: No","Unambiguous Synonym",
4824,1401,"Aphala","","calthae","(Linné, 1761)","",,"","new combination, valid: No","Unambiguous Synonym",
4826,3327,"Floria","","maura","Vondráček, 1951","",,"","original combination, valid: No","Unambiguous Synonym",
4827,2194,"Phytolyma","","lata","","var. fusca",,"Alibert, 1947","original combination, valid: No","Unambiguous Synonym",
4836,3338,"Crastina","Eustigmatia","tamaricina","(Loginova, 1960)","",,"","new combination, valid: No","Unambiguous Synonym",
4835,3337,"Parascenia","","weitschati","Klimaszewski, 1997","",,"","original combination, valid: No","Unambiguous Synonym",
4831,3334,"Trioza","","alboparia","Loginova, 1979","",,"","original combination, valid: No","Unambiguous Synonym",
1685,3338,"Crastina","","tamaricina","(Loginova, 1960)","",,"","new combination, valid: No","Unambiguous Synonym",
4338,3339,"Coelocara","","longilabiata","Li, 1991","",,"","original combination, valid: No","Unambiguous Synonym",
4847,3345,"Spondytora","","wanganella","Klimaszewski, 1997","",,"","original combination, valid: No","Unambiguous Synonym",
4518,3357,"Microphyllurus","","longicellus","Li, 2002","",,"","original combination, valid: No","Unambiguous Synonym",
4552,3357,"Microphyllura","","longicella","Li, 2002","",,"","original combination, valid: No","Unambiguous Synonym",
668,3358,"Neophyllura","Arbutophila","arbuti","(Schwarz, 1904)","",,"","new combination, valid: No","Unambiguous Synonym",
3285,3363,"Acaerus","","memoratus","(Loginova, 1970)","",,"","new combination, valid: No","Unambiguous Synonym",
1526,3366,"Rhinocola","","turkestanica","Löw, 1881","",,"","original combination, valid: No","Unambiguous Synonym",
3314,3366,"Acaerus","","turkistanika","(Löw)","",,"","new combination, valid: No","Unambiguous Synonym",
257,3371,"Paurocephala","","minuta","Crawford, 1919","",,"","original combination, valid: No","Unambiguous Synonym",
4886,3372,"Paurocephala","","kleinhofiae","Uichanco, 1921","",,"","original combination, valid: No","Unambiguous Synonym",
3240,3363,"Pachypsylloides","","memoratus","Loginova, 1970","",,"","original combination, valid: No","Unambiguous Synonym",
4357,3399,"Carsitria","","zhaoi","Li, 1997","",,"","original combination, valid: No","Unambiguous Synonym",
1797,3403,"Trioza","","thomasii","Löw, 1888","",,"","original combination, valid: No","Unambiguous Synonym",
4126,3386,"Edentatipsylla","","multijuga","(Yang, 1984)","",,"","new combination, valid: No","Unambiguous Synonym",
4907,3387,"Cacopsylla","","oluanpiensis","(Yang, 1984)","",,"","new combination, valid: No","Unambiguous Synonym",
3352,368,"Psylla","","stenolabis","Löw, 1876","",,"","original combination, valid: No","Unambiguous Synonym",
4220,3393,"Lindbergiella","","primitiva","(Heslop-Harrison, 1961)","",,"","new combination, valid: No","Unambiguous Synonym",
3250,3398,"Chermes","","buxi","Linné, 1758","",,"","original combination, valid: No","Unambiguous Synonym",
3254,3398,"Asphagidella","","buxi","(Linné, 1758)","",,"","new combination, valid: No","Unambiguous Synonym",
3633,3405,"Trioza","","apicalis","Förster","",,"","original combination, valid: No","Unambiguous Synonym",
4390,3406,"Trioza","","rufa","Loginova, 1958","",,"","original combination, valid: No","Unambiguous Synonym",
1283,3409,"Trioza","","chenopodii","Reuter, 1876","",,"","original combination, valid: No","Unambiguous Synonym",
4935,3409,"Trioza","","dalei","Scott, 1877","",,"","original combination, valid: No","Unambiguous Synonym",
4936,3409,"Trioza","","atriplicis","Lichtenstein, 1879","",,"","original combination, valid: No","Unambiguous Synonym",
4937,3409,"Trioza","","horvathii","Löw, 1881","",,"","original combination, valid: No","Unambiguous Synonym",
4939,3409,"Heterotrioza","","obliqua","(Thomson, 1877)","",,"","new combination, valid: No","Unambiguous Synonym",
4414,3411,"Metatriozidus","","ileicisuga","Li, 2011","",,"","original combination, valid: No","Unambiguous Synonym",
4751,3391,"Indepsylla","","mortua","Klimaszewski, 1997","",,"","original combination, valid: No","Unambiguous Synonym",
4799,3413,"Rhinopsylla","","taishanica","Li, 1992","",,"","original combination, valid: No","Unambiguous Synonym",
3447,3416,"Phylloplecta","","tripunctata","(Fitch, 1851)","",,"","new combination, valid: No","Unambiguous Synonym",
658,538,"Livia","","fimbriata","(Heslop-Harrison, 1949)","",,"","new combination, valid: No","Unambiguous Synonym",
4971,538,"Diraphia","","fimbriata","Heslop-Harrison, 1949","",,"","original combination, valid: No","Unambiguous Synonym",
4972,3440,"Livia","","pinicola","Li, 1993","",,"","original combination, valid: No","Unambiguous Synonym",
3248,2933,"Trioza","","trisignata","Löw, 1886","",,"","original combination, valid: No","Unambiguous Synonym",
4973,3440,"Livia","","livioides","(Loginova, 1967)","",,"","new combination, valid: No","Unambiguous Synonym",
4333,3424,"Trioza","","alexina","Marriner, 1903","",,"","original combination, valid: No","Unambiguous Synonym",
2954,3426,"Siphonaleyrodes","","formosanus","Takahashi, 1932","",,"","original combination, valid: No","Unambiguous Synonym",
4974,3440,"Diraphia","","livioides","Loginova, 1967","",,"","original combination, valid: No","Unambiguous Synonym",
347,3428,"Trioza","","galii","Foerster, 1848","",,"","original combination, valid: No","Unambiguous Synonym",
4406,3432,"Trioza","","nigricamphorae","Li, 1993","",,"","original combination, valid: No","Unambiguous Synonym",
4966,3444,"Diraphia","","rufipennis","Loginova, 1967","",,"","original combination, valid: No","Unambiguous Synonym",
660,3445,"Livia","","marginata","Patch, 1912","",,"","original combination, valid: No","Unambiguous Synonym",
4970,544,"Diraphia","","omissa","Heslop-Harrison, 1949","",,"","original combination, valid: No","Unambiguous Synonym",
655,535,"Livia","","aba","Caldwell, 1940","",,"","original combination, valid: No","Unambiguous Synonym",
4976,1140,"Togepsylla","","mimana","Yang & Li, 1981","",,"","original combination, valid: No","Unambiguous Synonym",
662,542,"Livia","","ohioensis","Caldwell, 1938","",,"","original combination, valid: No","Unambiguous Synonym",
4982,3451,"Eubactericera","","allivora","Li, 1994","",,"","original combination, valid: No","Unambiguous Synonym",
4984,3452,"Trioza","","alticola","Baeva, 1969","",,"","original combination, valid: No","Unambiguous Synonym",
4987,3454,"Eubactericera","","artemisiae","(Baeva, 1971)","",,"","new combination, valid: No","Unambiguous Synonym",
4988,3454,"Trioza","","artemisiae","Baeva, 1971","",,"","original combination, valid: No","Unambiguous Synonym",
4990,3455,"Trioza","","baiancogti","Klimaszewski, 1966","",,"","original combination, valid: No","Unambiguous Synonym",
4995,3458,"Eubactericera","","artemisicola","Li, 1995","",,"","original combination, valid: No","Unambiguous Synonym",
4996,3458,"Eubactericera","","artemicola","Li, 1995","",,"","original combination, valid: No","Unambiguous Synonym",
4998,3459,"Eubactericera","","artemisisuga","Li, 1995","",,"","original combination, valid: No","Unambiguous Synonym",
5000,3459,"Bubactericera","","artemisisuga","Li, 1995","",,"","original combination, valid: No","Unambiguous Synonym",
5002,3460,"Bactericera","Smirnovia","breviatiformis","Kwon, 1983","",,"","original combination, valid: No","Unambiguous Synonym",
5005,3461,"Pauorcephala","","octisegrega","Li, 2011","",,"","original combination, valid: No","Unambiguous Synonym",
5013,3468,"Eustigmatia","","xinjiangensis","Li, 2011","",,"","original combination, valid: No","Unambiguous Synonym",
5019,3473,"Colposcenia","","fulviantenna","Li, 2011","",,"","original combination, valid: No","Unambiguous Synonym",
4969,544,"Diraphia","","calamorum","Fitch, 1857","",,"","original combination, valid: No","Unambiguous Synonym",
4968,544,"Diraphia","","femoralis","Fitch, 1857","",,"","original combination, valid: No","Unambiguous Synonym",
5027,3480,"Triozidus","","hangzhouicus","Li, 1994","",,"","original combination, valid: No","Unambiguous Synonym",
