"AcceptedTaxonID","ParentSpeciesID","InfraSpeciesEpithet","InfraSpeciesAuthorString","InfraSpeciesMarker","GSDNameStatus","Sp2000NameStatus","IsExtinct","HasPreHolocene","HasModern","LifeZone","AdditionalData","LTSSpecialist","LTSDate","InfraSpeciesURL","GSDTaxonGUI","GSDNameGUI"
3106,1919,"nigrolituratus","Lallemand, 1920",,"original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Soulier-Perkins Adeline","15/01/2015",http://hemiptera-databases.com/cool?lang=en&card=name&id=5175",,
3107,1919,"quadrimaculatus","Lallemand, 1939",,"original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Soulier-Perkins Adeline","15/01/2015",http://hemiptera-databases.com/cool?lang=en&card=name&id=5176",,
3108,1919,"synavei","Metcalf, 1962",,"original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Soulier-Perkins Adeline","15/01/2015",http://hemiptera-databases.com/cool?lang=en&card=name&id=5177",,
3109,1919,"velghei","Lallemand, 1912",,"original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Soulier-Perkins Adeline","15/01/2015",http://hemiptera-databases.com/cool?lang=en&card=name&id=5180",,
3110,2132,"nigricans","Jacobi, 1917",,"original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Soulier-Perkins Adeline","15/01/2015",http://hemiptera-databases.com/cool?lang=en&card=name&id=5181",,
3111,2132,"plagosa","Jacobi, 1917",,"original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Soulier-Perkins Adeline","15/01/2015",http://hemiptera-databases.com/cool?lang=en&card=name&id=5182",,
3145,3136,"limbata","Lallemand, 1957",,"original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Soulier-Perkins Adeline","15/01/2015",http://hemiptera-databases.com/cool?lang=en&card=name&id=5219",,
3146,3136,"trimaculata","Lallemand, 1957",,"original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Soulier-Perkins Adeline","15/01/2015",http://hemiptera-databases.com/cool?lang=en&card=name&id=5220",,
3147,3136,"surana","Lallemand, 1957",,"original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Soulier-Perkins Adeline","15/01/2015",http://hemiptera-databases.com/cool?lang=en&card=name&id=5221",,
3149,3148,"nitida","Stål, 1865",,"original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Soulier-Perkins Adeline","15/01/2015",http://hemiptera-databases.com/cool?lang=en&card=name&id=5223",,
3150,3148,"pseudobadia","(Lallemand, 1924)",,"new combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Soulier-Perkins Adeline","15/01/2015",http://hemiptera-databases.com/cool?lang=en&card=name&id=5224",,
3151,2215,"nggelana","Lallemand, 1957",,"original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Soulier-Perkins Adeline","15/01/2015",http://hemiptera-databases.com/cool?lang=en&card=name&id=5225",,
3152,2215,"malaupoeinana","Lallemand, 1957",,"original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Soulier-Perkins Adeline","15/01/2015",http://hemiptera-databases.com/cool?lang=en&card=name&id=5226",,
3153,2215,"parassona","Lallemand, 1957",,"original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Soulier-Perkins Adeline","15/01/2015",http://hemiptera-databases.com/cool?lang=en&card=name&id=5227",,
3155,2214,"savoana","Lallemand, 1957",,"original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Soulier-Perkins Adeline","15/01/2015",http://hemiptera-databases.com/cool?lang=en&card=name&id=5229",,
3156,2214,"nigra","Lallemand & Synave, 1953",,"original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Soulier-Perkins Adeline","15/01/2015",http://hemiptera-databases.com/cool?lang=en&card=name&id=5230",,
3158,2224,"peleana","Lallemand, 1957",,"original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Soulier-Perkins Adeline","15/01/2015",http://hemiptera-databases.com/cool?lang=en&card=name&id=5232",,
3159,2224,"fusca","Lallemand, 1940",,"original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Soulier-Perkins Adeline","15/01/2015",http://hemiptera-databases.com/cool?lang=en&card=name&id=5233",,
3196,3192,"pallescens","Blöte, 1957",,"original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Soulier-Perkins Adeline","15/01/2015",http://hemiptera-databases.com/cool?lang=en&card=name&id=5273",,
