"AcceptedTaxonID","Kingdom","Phylum","Class","Order","Superfamily","Family","Genus","SubGenusName","Species","AuthorString","GSDNameStatus","Sp2000NameStatus","IsExtinct","HasPreHolocene","HasModern","LifeZone","AdditionalData","LTSSpecialist","LTSDate","SpeciesURL","GSDTaxonGUI","GSDNameGUI"
383,"Eukarya","Arthropoda","Hexapoda","Hemiptera","Cercopoidea","Machaerotidae","Hindoloides","","trilineata","Maa, 1947","original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Soulier-Perkins Adeline","15/01/2015","http://hemiptera-databases.com/cool?lang=en&card=name&id=555",,
384,"Eukarya","Arthropoda","Hexapoda","Hemiptera","Cercopoidea","Machaerotidae","Polychaetophyes","","serpulidia","Kirkaldy, 1906","original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Soulier-Perkins Adeline","15/01/2015","http://hemiptera-databases.com/cool?lang=en&card=name&id=556",,
385,"Eukarya","Arthropoda","Hexapoda","Hemiptera","Cercopoidea","Machaerotidae","Aphrosiphon","","bauhiniae","China, 1935","original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Soulier-Perkins Adeline","15/01/2015","http://hemiptera-databases.com/cool?lang=en&card=name&id=557",,
387,"Eukarya","Arthropoda","Hexapoda","Hemiptera","Cercopoidea","Clastopteridae","Parahindoloides","","lumuana","Lallemand, 1951","original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Soulier-Perkins Adeline","15/01/2015","http://hemiptera-databases.com/cool?lang=en&card=name&id=559",,
388,"Eukarya","Arthropoda","Hexapoda","Hemiptera","Cercopoidea","Machaerotidae","Sigmasoma","","bifalcata","Schmidt, 1907","original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Soulier-Perkins Adeline","15/01/2015","http://hemiptera-databases.com/cool?lang=en&card=name&id=560",,
390,"Eukarya","Arthropoda","Hexapoda","Hemiptera","Cercopoidea","Machaerotidae","Grypomachaerota","","breviceps","Baker, 1919","original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Soulier-Perkins Adeline","15/01/2015","http://hemiptera-databases.com/cool?lang=en&card=name&id=562",,
392,"Eukarya","Arthropoda","Hexapoda","Hemiptera","Cercopoidea","Machaerotidae","Grypomachaerota","","turbinata","Schmidt, 1907","original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Soulier-Perkins Adeline","15/01/2015","http://hemiptera-databases.com/cool?lang=en&card=name&id=564",,
393,"Eukarya","Arthropoda","Hexapoda","Hemiptera","Cercopoidea","Machaerotidae","Platymachaerota","","elevata","Schmidt, 1918","original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Soulier-Perkins Adeline","15/01/2015","http://hemiptera-databases.com/cool?lang=en&card=name&id=565",,
394,"Eukarya","Arthropoda","Hexapoda","Hemiptera","Cercopoidea","Machaerotidae","Machaerota","","andamanensis","Distant, 1908","original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Soulier-Perkins Adeline","15/01/2015","http://hemiptera-databases.com/cool?lang=en&card=name&id=566",,
395,"Eukarya","Arthropoda","Hexapoda","Hemiptera","Cercopoidea","Machaerotidae","Machaerota","","assamensis","Distant, 1916","original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Soulier-Perkins Adeline","15/01/2015","http://hemiptera-databases.com/cool?lang=en&card=name&id=567",,
396,"Eukarya","Arthropoda","Hexapoda","Hemiptera","Cercopoidea","Machaerotidae","Machaerota","","coomani","Lallemand, 1942","original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Soulier-Perkins Adeline","15/01/2015","http://hemiptera-databases.com/cool?lang=en&card=name&id=568",,
397,"Eukarya","Arthropoda","Hexapoda","Hemiptera","Cercopoidea","Machaerotidae","Machaerota","","ensifera","Burmeister, 1835","original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Soulier-Perkins Adeline","15/01/2015","http://hemiptera-databases.com/cool?lang=en&card=name&id=569",,
