"ID","AcceptedTaxonID","Genus","SubGenusName","Species","AuthorString","InfraSpecies","InfraSpecificMarker","InfraSpecificAuthorString","GSDNameStatus","Sp2000NameStatus","GSDNameGUI"
818,567,"Cercopis","","compressa","Le Peletier de Saint-Fargeau & Serville, 1825","",,"","original combination, valid: No","Unambiguous Synonym",
819,567,"Sphenorhina","","compressa","(Le Peletier de Saint-Fargeau & Serville, 1825)","",,"","new combination, valid: No","Unambiguous Synonym",
820,567,"Tomaspis","","compressa","(Le Peletier de Saint-Fargeau & Serville, 1825)","",,"","new combination, valid: No","Unambiguous Synonym",
927,2812,"Tomaspis","","comitata","Melichar, 1915","",,"","original combination, valid: No","Unambiguous Synonym",
920,2813,"Sphenorhina","","elliptica","Walker, 1851","",,"","original combination, valid: No","Unambiguous Synonym",
917,2814,"Tomaspis","","circulata","(Guérin-Méneville, 1844)","",,"","new combination, valid: No","Unambiguous Synonym",
918,2814,"Cercopis","","circulatus","Guérin-Méneville, 1844","",,"","original combination, valid: No","Unambiguous Synonym",
919,2814,"Sphenorhina","","circulata","(Guérin-Méneville, 1844)","",,"","new combination, valid: No","Unambiguous Synonym",
844,2815,"Laccogrypota","","juno","(Distant, 1909)","",,"","new combination, valid: No","Unambiguous Synonym",
845,2815,"Ischnorhina","","juno","Distant, 1909","",,"","original combination, valid: No","Unambiguous Synonym",
1342,2816,"Sphenorhina","","peruana","Lallemand, 1924","",,"","original combination, valid: No","Unambiguous Synonym",
1232,2819,"Tomaspis","","picklesi","China & Myers, 1934","",,"","original combination, valid: No","Unambiguous Synonym",
913,2821,"Tomaspis","","brevis","(Walker, 1851)","",,"","new combination, valid: No","Unambiguous Synonym",
914,2821,"Sphenorhina","","brevis","Walker, 1851","",,"","original combination, valid: No","Unambiguous Synonym",
967,2822,"Tomaspis","","ignobilis","Fowler, 1897","",,"","original combination, valid: No","Unambiguous Synonym",
1074,716,"Tomaspis","","minuscula","Jacobi, 1908","",,"","original combination, valid: No","Unambiguous Synonym",
1075,716,"Tomaspisinella","","minuscula","(Jacobi, 1908)","",,"","new combination, valid: No","Unambiguous Synonym",
868,592,"Cercopis","","coccinea","Fabricius, 1794","",,"","original combination, valid: No","Unambiguous Synonym",
3843,592,"Sphenorhina","","haematina","(Germar, 1821)","",,"","new combination, valid: No","Unambiguous Synonym",
870,592,"Tomaspis","","coccinea","(Fabricius, 1794)","",,"","new combination, valid: No","Unambiguous Synonym",
871,592,"Triecphora","","coccinea","(Fabricius, 1794)","",,"","new combination, valid: No","Unambiguous Synonym",
872,592,"Rhinaulax","","coccinea","(Fabricius, 1794)","",,"","new combination, valid: No","Unambiguous Synonym",
953,2827,"Tomaspis","","flavopicta","(Stål, 1854)","",,"","new combination, valid: No","Unambiguous Synonym",
954,2827,"Monecphora","","flavopicta","Stål, 1854","",,"","original combination, valid: No","Unambiguous Synonym",
4775,2828,"Deois","Deois","incompleta","(Walker, 1851)","",,"","new combination, valid: No","Unambiguous Synonym",
1218,2828,"Deois","","incompleta","(Walker, 1851)","",,"","new combination, valid: No","Unambiguous Synonym",
1219,2828,"Monecphora","","incompleta","Walker, 1851","",,"","original combination, valid: No","Unambiguous Synonym",
1221,2828,"Sphenorhina","","diluta","Walker, 1858","",,"","original combination, valid: No","Unambiguous Synonym",
1220,2828,"Tomaspis","","incompleta","(Walker, 1851)","",,"","new combination, valid: No","Unambiguous Synonym",
928,2829,"Tomaspis","","correntina","Berg, 1879","",,"","original combination, valid: No","Unambiguous Synonym",
4780,2832,"Deois","Pandysia","knoblauchii","(Berg, 1879)","",,"","new combination, valid: No","Unambiguous Synonym",
1239,2832,"Tomaspis","","knoblauchii","Berg, 1879","",,"","original combination, valid: No","Unambiguous Synonym",
1222,2833,"Deois","","morialis","(China & Myers, 1934)","",,"","new combination, valid: No","Unambiguous Synonym",
1223,2833,"Tomaspis","","morialis","China & Myers, 1934","",,"","original combination, valid: No","Unambiguous Synonym",
1240,2832,"Tomaspis","","knoblanchi","Berg, 1879","",,"","original combination, valid: No","Unambiguous Synonym",
1428,2836,"Monecphora","","pseudoflavopicta","Lallemand, 1938","",,"","original combination, valid: No","Unambiguous Synonym",
2419,2840,"Mahanarva","","uniformis","Distant, 1909","",,"","original combination, valid: No","Unambiguous Synonym",
1403,2841,"Monecphora","","coerulea","Lallemand, 1924","",,"","original combination, valid: No","Unambiguous Synonym",
1242,2846,"Cercopis","","schach","Fabricius, 1787","",,"","original combination, valid: No","Unambiguous Synonym",
1243,2846,"Cercopis","","humeralis","Le Peletier de Saint-Fargeau & Serville, 1825","",,"","original combination, valid: No","Unambiguous Synonym",
968,2849,"Tomaspis","","inca","(Guérin-Méneville, 1844)","",,"","new combination, valid: No","Unambiguous Synonym",
940,2851,"Tomaspis","","discontinua","Fowler, 1897","",,"","original combination, valid: No","Unambiguous Synonym",
1245,2846,"Tomaspis","","schach","(Fabricius, 1787)","",,"","new combination, valid: No","Unambiguous Synonym",
3875,2846,"Tomaspis","","humeralis","(Le Peletier de Saint-Fargeau & Serville, 1825)","",,"","new combination, valid: No","Unambiguous Synonym",
3874,2846,"Monecphora","","humeralis","(Le Peletier de Saint-Fargeau & Serville, 1825)","",,"","new combination, valid: No","Unambiguous Synonym",
4800,2846,"Monecphora","","solita","Walker, 1851","",,"","original combination, valid: No","Unambiguous Synonym",
4801,2846,"Cercopis","","schack","Fabricius, 1787","",,"","original combination, valid: No","Unambiguous Synonym",
1236,2847,"Sphenorhina","","transiens","Walker, 1851","",,"","original combination, valid: No","Unambiguous Synonym",
4804,2847,"Deois","Orodamnis","transiens","(Walker, 1851)","",,"","new combination, valid: No","Unambiguous Synonym",
1229,2827,"Deois","Orodamnis","multicolor","(Distant, 1909)","",,"","new combination, valid: No","Unambiguous Synonym",
1230,2827,"Tomaspis","","multicolor","Distant, 1909","",,"","original combination, valid: No","Unambiguous Synonym",
1233,2853,"Deois","Orodamnis","rhynchosporae","(China & Myers, 1934)","",,"","new combination, valid: No","Unambiguous Synonym",
1234,2853,"Tomaspis","","rhynchosporae","China & Myers, 1934","",,"","original combination, valid: No","Unambiguous Synonym",
4806,787,"Deois","","terrea","(Germar, 1821)","",,"","new combination, valid: No","Unambiguous Synonym",
869,3403,"Cercopis","","haematina","Germar, 1821","",,"","original combination, valid: No","Unambiguous Synonym",
3844,3403,"Laccogrypota","","haematina","Germar, 1821","",,"","original combination, valid: No","Unambiguous Synonym",
4768,3403,"Homalogrypota","","haematica","Germar, 1821","",,"","original combination, valid: No","Unambiguous Synonym",
1228,787,"Tomaspis","","terrea","(Germar, 1821)","",,"","new combination, valid: No","Unambiguous Synonym",
1226,787,"Monecphora","","terrea","(Germar, 1821)","",,"","new combination, valid: No","Unambiguous Synonym",
1227,787,"Tomaspis","","argentina","Berg, 1879","",,"","original combination, valid: No","Unambiguous Synonym",
1225,787,"Cercopis","","terrea","Germar, 1821","",,"","original combination, valid: No","Unambiguous Synonym",
1231,2819,"Deois","Orodamnis","picklesi","(China & Myers, 1934)","",,"","new combination, valid: No","Unambiguous Synonym",
983,2854,"Tomaspis","","limbata","Stål, 1864","",,"","original combination, valid: No","Unambiguous Synonym",
1010,2855,"Tomaspis","","perfecta","(Walker, 1858)","",,"","new combination, valid: No","Unambiguous Synonym",
1011,2855,"Sphenorhina","","perfecta","Walker, 1858","",,"","original combination, valid: No","Unambiguous Synonym",
1024,2856,"Tomaspis","","quota","(Distant, 1900)","",,"","new combination, valid: No","Unambiguous Synonym",
1025,2856,"Sphenorhina","","quota","Distant, 1900","",,"","original combination, valid: No","Unambiguous Synonym",
1043,2857,"Tomaspis","","sepulchralis","Stål, 1864","",,"","original combination, valid: No","Unambiguous Synonym",
1044,2857,"Monecphora","","sepulchralis","(Stål, 1864)","",,"","new combination, valid: No","Unambiguous Synonym",
2413,2859,"Mahanarva","","aenea","Melichar, 1915","",,"","original combination, valid: No","Unambiguous Synonym",
