"ID","AcceptedTaxonID","Genus","SubGenusName","Species","AuthorString","InfraSpecies","InfraSpecificMarker","InfraSpecificAuthorString","GSDNameStatus","Sp2000NameStatus","GSDNameGUI"
1831,178,"Aleurolobus","","citri","Takahashi, 1932","",,"","original combination, valid: No","Unambiguous Synonym",
1832,179,"Africaleurodes","","lamottei","Cohic, 1969","",,"","original combination, valid: No","Unambiguous Synonym",
1834,188,"Aleurodes","","simula","Peal, 1903","",,"","original combination, valid: No","Unambiguous Synonym",
1835,192,"Aleurolobus","","vrijdaghii","Ghesquière, 1934","",,"","original combination, valid: No","Unambiguous Synonym",
1836,196,"Aleurodes","","bambusae","Peal, 1903","",,"","original combination, valid: No","Unambiguous Synonym",
1837,198,"Aleurodes","","banksiae","Maskell, 1896","",,"","original combination, valid: No","Unambiguous Synonym",
1838,200,"Aleurodes","","calophylli","Kotinsky, 1907","",,"","original combination, valid: No","Unambiguous Synonym",
1839,207,"Aleurocanthus","","canangae","Corbett, 1935","",,"","original combination, valid: No","Unambiguous Synonym",
1840,223,"Aleurodes","","hirsutus","Maskell, 1896","",,"","original combination, valid: No","Unambiguous Synonym",
224,224,"Aleurocanthus","","husaini","Corbett, 1939","",,"","original combination, valid: No","Unambiguous Synonym",
1842,248,"Aleurodes","","piperis","Maskell, 1896","",,"","original combination, valid: No","Unambiguous Synonym",
1843,258,"Aleurodes","","spiniferus","Quaintance, 1903","",,"","original combination, valid: No","Unambiguous Synonym",
1844,258,"Aleurodes","","citricola","Newstead, 1911","",,"","original combination, valid: No","Unambiguous Synonym",
1845,258,"Aleurocanthus","","spiniferus","","var. intermedius",,"Silvestri, 1927","original combination, valid: No","Unambiguous Synonym",
1846,260,"Aleyrodes","","spinosus","Kuwana, 1911","",,"","original combination, valid: No","Unambiguous Synonym",
1847,265,"Aleurodes","","t-signatus","Maskell, 1896","",,"","original combination, valid: No","Unambiguous Synonym",
1848,269,"Aleurodes","","voeltzkowi","Newstead, 1908","",,"","original combination, valid: No","Unambiguous Synonym",
1849,270,"Aleurocanthus","","woglumi","","var. formosana",,"Takahashi, 1935","original combination, valid: No","Unambiguous Synonym",
1865,1075,"Dialeurolonga","","tamburissae","Takahashi, 1955","",,"","original combination, valid: No","Unambiguous Synonym",
1851,272,"Uraleyrodes","","ceriferus","Sampson & Drews, 1941","",,"","original combination, valid: No","Unambiguous Synonym",
1855,283,"Coccus","","aceris","Modeer, 1778","",,"","original combination, valid: No","Unambiguous Synonym",
1859,284,"Aleurodes","","forbesii","Ashmead, 1893","",,"","original combination, valid: No","Unambiguous Synonym",
1867,1658,"Taiwanaleyrodes","","baccaureae","Corbett, 1935","",,"","original combination, valid: No","Unambiguous Synonym",
1337,1659,"Taiwanaleyrodes","","carpini","Takahashi, 1939","",,"","original combination, valid: No","Unambiguous Synonym",
1860,284,"Aleurodes","","aceris","Forbes, 1885","",,"","original combination, valid: No","Ambiguous Synonym",
1861,1486,"Acanthaleyrodes","","spiniferosa","(Corbett, 1933)","",,"","new combination, valid: No","Unambiguous Synonym",
1862,1486,"Dialeurodes","","spiniferosa","Corbett, 1933","",,"","original combination, valid: No","Unambiguous Synonym",
1340,1662,"Taiwanaleyrodes","","hexcantha","Singh, 1940","",,"","original combination, valid: No","Unambiguous Synonym",
1873,1663,"Aleurothrixus","","indicus","Singh, 1931","",,"","original combination, valid: No","Unambiguous Synonym",
1875,1664,"Aleuroclava","","indicus","Meganathan & David, 1994","",,"","original combination, valid: No","Ambiguous Synonym",
1342,1665,"Taiwanaleyrodes","","meliosmae","Takahashi, 1932","",,"","original combination, valid: No","Unambiguous Synonym",
1879,1667,"Aleuroclava","","macarangae","Corbett, 1935","",,"","original combination, valid: No","Ambiguous Synonym",
1593,1737,"Lecanoideus","","mirabilis","(Cockerell, 1898)","",,"","new combination, valid: No","Unambiguous Synonym",
1886,1671,"Aleuroclava","","papillata","Dubey & Sundararaj, 2005","",,"","original combination, valid: No","Ambiguous Synonym",
1887,360,"Martiniella","","papillata","Sundararaj & Dubey, 2004","",,"","original combination, valid: No","Unambiguous Synonym",
1889,1672,"Aleuroclava","","davidi","Dubey & Sundararaj, 2005","",,"","original combination, valid: No","Ambiguous Synonym",
1345,1673,"Taiwanaleyrodes","","tripori","Dubey & Sundararaj, 2006","",,"","original combination, valid: No","Unambiguous Synonym",
1893,1675,"Trialeurodes","","bauhiniae","Corbett, 1935","",,"","original combination, valid: No","Unambiguous Synonym",
1841,231,"Aleurocanthus","","lumpurensis","Corbett, 1935","",,"","original combination, valid: No","Unambiguous Synonym",
677,1680,"Aleurotrachelus","","pauliani","Takahashi, 1961","",,"","original combination, valid: No","Ambiguous Synonym",
1903,1683,"Asialeyrodes","","indica","(Dubey & Sundararaj, 2006)","",,"","new combination, valid: No","Ambiguous Synonym",
1904,1683,"Icfrealeyrodes","","indica","Dubey & Sundararaj, 2006","",,"","original combination, valid: No","Unambiguous Synonym",
1910,1688,"Dialeurodes","","dehradunensis","Jesudasan & David, 1991","",,"","original combination, valid: No","Unambiguous Synonym",
1913,1690,"Dialeurodes","","lumpurensis","Corbett, 1935","",,"","original combination, valid: No","Unambiguous Synonym",
1916,1692,"Aleurocanthus","","pauliani","Cohic, 1968","",,"","original combination, valid: No","Unambiguous Synonym",
1918,1693,"Aleurocanthus","","uvariae","Cohic, 1968","",,"","original combination, valid: No","Unambiguous Synonym",
1920,1694,"Aleurotrachelus","","cinnamomi","Jesudasan & David, 1991","",,"","original combination, valid: No","Unambiguous Synonym",
1922,1695,"Aleurotrachelus","","goaensis","Jesudasan & David, 1991","",,"","original combination, valid: No","Unambiguous Synonym",
1925,1697,"Dialeurodes","","martini","Jesudasan & David, 1991","",,"","original combination, valid: No","Ambiguous Synonym",
1931,1702,"Dialeurodes","","erythrinae","Corbett, 1935","",,"","original combination, valid: No","Unambiguous Synonym",
1936,1706,"Dialeurodes","","fici","Takahashi, 1932","",,"","original combination, valid: No","Unambiguous Synonym",
1942,1711,"Trialeurodes","","elatostemae","Takahashi, 1932","",,"","original combination, valid: No","Unambiguous Synonym",
1950,1718,"Aleurodes","","niger","Maskell, 1896","",,"","original combination, valid: No","Unambiguous Synonym",
1515,1719,"Zaphanera","","papyrocarpae","Martin, 2001","",,"","original combination, valid: No","Unambiguous Synonym",
1957,1724,"Dialeurodes","","cambodiensis","Takahashi, 1942","",,"","original combination, valid: No","Unambiguous Synonym",
1959,1725,"Dialeurodes","","cardamomi","David & Subramaniam, 1976","",,"","original combination, valid: No","Unambiguous Synonym",
1961,1726,"Aleuroputeus","","chinensis","Takahashi, 1941","",,"","original combination, valid: No","Unambiguous Synonym",
1963,1727,"Dialeurodes","","ficifolii","Takahashi, 1942","",,"","original combination, valid: No","Unambiguous Synonym",
1330,1329,"Singhius","","fletcheri","(Singh, 1931)","",,"","new combination, valid: No","Unambiguous Synonym",
1804,1737,"Lecanoideus","","giganteus","(Quaintance & Baker, 1913)","",,"","new combination, valid: No","Unambiguous Synonym",
1592,1689,"Lecanoideus","","floccissimus","Martin, Hérnandez-Suarez & Carnero, 1997","",,"","original combination, valid: No","Unambiguous Synonym",
1979,1741,"Marginaleyrodes","","tetracerae","Cohic, 1966","",,"","original combination, valid: No","Unambiguous Synonym",
1981,1052,"Dialeurodes","","mauritiensis","Takahashi, 1938","",,"","original combination, valid: No","Unambiguous Synonym",
1705,807,"Bemisia","","graminis","David & Winstone, 1988","",,"","original combination, valid: No","Unambiguous Synonym",
1724,832,"Bemisia","","lonicerae","Takahashi, 1957","",,"","original combination, valid: No","Unambiguous Synonym",
1721,832,"Bemisia","","rhodesiaensis","Corbett, 1936","",,"","original combination, valid: No","Unambiguous Synonym",
1984,853,"Aleurocanthus","","alternans","Cohic, 1966","",,"","original combination, valid: No","Unambiguous Synonym",
1985,853,"Aleurocanthus","","angolensis","Cohic, 1966","",,"","original combination, valid: No","Unambiguous Synonym",
1986,856,"Aleurocanthus","","descarpentriesi","Cohic, 1968","",,"","original combination, valid: No","Unambiguous Synonym",
1988,1745,"Aleurodes","","nubilans","Buckton, 1900","",,"","original combination, valid: No","Unambiguous Synonym",
1989,863,"Aleurocanthus","","platysepali","Cohic, 1966","",,"","original combination, valid: No","Unambiguous Synonym",
1990,865,"Aleurocanthus","","recurvispinus","Cohic, 1966","",,"","original combination, valid: No","Unambiguous Synonym",
1991,1325,"Aleurocanthus","","simplex","Singh, 1931","",,"","original combination, valid: No","Unambiguous Synonym",
1992,1106,"Aleuroclava","","ellipticae","Dumbleton, 1956","",,"","original combination, valid: No","Unambiguous Synonym",
1993,1107,"Aleuroclava","","eucalypti","Dumbleton, 1957","",,"","original combination, valid: No","Unambiguous Synonym",
1994,1656,"Aleurocybotus","","indicus","David & Subramaniam, 1976","",,"","original combination, valid: No","Unambiguous Synonym",
1995,1491,"Aleurocybotus","","setiferus","Quaintance & Baker, 1917","",,"","original combination, valid: No","Unambiguous Synonym",
1137,1746,"Lipaleyrodes","","atriplex","(Froggatt, 1911)","",,"","new combination, valid: No","Unambiguous Synonym",
1139,1748,"Lipaleyrodes","","crossandrae","David & Subramaniam, 1976","",,"","original combination, valid: No","Unambiguous Synonym",
2001,1749,"Bemisia","","emilae","(Chen & Ko, 2006)","",,"","new combination, valid: No","Unambiguous Synonym",
1142,1751,"Lipaleyrodes","","hargreavesi","(Corbett, 1935)","",,"","new combination, valid: No","Unambiguous Synonym",
1143,1747,"Lipaleyrodes","","leguminicola","(Takahashi, 1942)","",,"","new combination, valid: No","Unambiguous Synonym",
2005,832,"Aleurodes","","tabaci","Gennadius, 1889","",,"","original combination, valid: No","Unambiguous Synonym",
1715,832,"Bemisia","","gossypiperda","Misra & Singh, 1929","",,"","original combination, valid: No","Unambiguous Synonym",
1710,832,"Bemisia","","inconspicua","(Quaintance, 1900)","",,"","new combination, valid: No","Unambiguous Synonym",
1657,357,"Aleuroclava","","caloncobae","(Cohic, 1966)","",,"","new combination, valid: No","Unambiguous Synonym",
