"AcceptedTaxonID","Kingdom","Phylum","Class","Order","Superfamily","Family","Genus","SubGenusName","Species","AuthorString","GSDNameStatus","Sp2000NameStatus","IsExtinct","HasPreHolocene","HasModern","LifeZone","AdditionalData","LTSSpecialist","LTSDate","SpeciesURL","GSDTaxonGUI","GSDNameGUI"
11375,"Eukarya","Arthropoda","Hexapoda","Hemiptera","Fulgoroidea","Delphacidae","Delphacodes","","balli","Muir & Giffard, 1924","original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Bourgoin Thierry","15/01/2015","http://hemiptera-databases.com/flow?lang=en&card=name&id=16596&page=explorer&db=flow",,
11376,"Eukarya","Arthropoda","Hexapoda","Hemiptera","Fulgoroidea","Delphacidae","Delphacodes","","banosensis","Muir, 1926","original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Bourgoin Thierry","15/01/2015","http://hemiptera-databases.com/flow?lang=en&card=name&id=16597&page=explorer&db=flow",,
11378,"Eukarya","Arthropoda","Hexapoda","Hemiptera","Fulgoroidea","Delphacidae","Delphacodes","","basivitta","(Van Duzee, 1909)","new combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Bourgoin Thierry","15/01/2015","http://hemiptera-databases.com/flow?lang=en&card=name&id=16600&page=explorer&db=flow",,
11379,"Eukarya","Arthropoda","Hexapoda","Hemiptera","Fulgoroidea","Delphacidae","Delphacodes","","bellicosa","Muir & Giffard, 1924","original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Bourgoin Thierry","15/01/2015","http://hemiptera-databases.com/flow?lang=en&card=name&id=16604&page=explorer&db=flow",,
11380,"Eukarya","Arthropoda","Hexapoda","Hemiptera","Fulgoroidea","Delphacidae","Delphacodes","","bergi","(Scott, 1881)","new combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Bourgoin Thierry","15/01/2015","http://hemiptera-databases.com/flow?lang=en&card=name&id=16605&page=explorer&db=flow",,
11381,"Eukarya","Arthropoda","Hexapoda","Hemiptera","Fulgoroidea","Delphacidae","Delphacodes","","biarmica","(Sahlberg, 1871)","new combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Bourgoin Thierry","15/01/2015","http://hemiptera-databases.com/flow?lang=en&card=name&id=16609&page=explorer&db=flow",,
11383,"Eukarya","Arthropoda","Hexapoda","Hemiptera","Fulgoroidea","Delphacidae","Delphacodes","","burjata","(Kusnezov, 1929)","new combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Bourgoin Thierry","15/01/2015","http://hemiptera-databases.com/flow?lang=en&card=name&id=16618&page=explorer&db=flow",,
11384,"Eukarya","Arthropoda","Hexapoda","Hemiptera","Fulgoroidea","Delphacidae","Delphacodes","","campestris","(Van Duzee, 1897)","new combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Bourgoin Thierry","15/01/2015","http://hemiptera-databases.com/flow?lang=en&card=name&id=16620&page=explorer&db=flow",,
11385,"Eukarya","Arthropoda","Hexapoda","Hemiptera","Fulgoroidea","Delphacidae","Delphacodes","","carinata","(Glover, 1877)","new combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Bourgoin Thierry","15/01/2015","http://hemiptera-databases.com/flow?lang=en&card=name&id=16626&page=explorer&db=flow",,
11386,"Eukarya","Arthropoda","Hexapoda","Hemiptera","Fulgoroidea","Delphacidae","Delphacodes","","cayamensis","(Crawford, 1914)","new combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Bourgoin Thierry","15/01/2015","http://hemiptera-databases.com/flow?lang=en&card=name&id=16628&page=explorer&db=flow",,
11387,"Eukarya","Arthropoda","Hexapoda","Hemiptera","Fulgoroidea","Delphacidae","Delphacodes","","chiloensis","Muir, 1929","original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Bourgoin Thierry","15/01/2015","http://hemiptera-databases.com/flow?lang=en&card=name&id=16630&page=explorer&db=flow",,
