"ReferenceID","Authors","Year","Title","Details"
2,"Stål C.",1865,"Hemiptera Africana","1: 256 pp. Holmiæ : Ex officina Norstedtiana, Stockholm (Sweden)."
3,"Montandon A. L.",1894,"Pentatomides notes et descriptions","Annales de la société entomologique de Belgique, 38: 619-648."
4,"Stål C.",1870,"Enumeratio Hemipterorum. Bidrag till en företeckning öfver alla hittills Hemiptera, jemte systematiska meddelanden","Kongl. Svenska Vetenskaps-Akademiens Handlingar, 9(1): 60-89."
5,"Blöte H. C.",1945,"Catalogue of the Pentatomidae in the Rijksmuseum van Natuurlijke Historie Part I. Tessaratominae, Urolabidinae","Zoologische Mededeelingen, 25: 285-316."
6,"Stål C.",1863,"Hemipterorum exoticorum generum et specierum nonnullarum novarum descriptiones","Transactions of the Entomological Society of London, 3(1): 571-603."
