"AcceptedTaxonID","ParentSpeciesID","InfraSpeciesEpithet","InfraSpeciesAuthorString","InfraSpeciesMarker","GSDNameStatus","Sp2000NameStatus","IsExtinct","HasPreHolocene","HasModern","LifeZone","AdditionalData","LTSSpecialist","LTSDate","InfraSpeciesURL","GSDTaxonGUI","GSDNameGUI"
18354,8952,"kandavuana","Fennah, 1950",,"original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Bourgoin Thierry","15/01/2015",http://hemiptera-databases.com/flow?lang=en&card=name&id=26103&page=explorer&db=flow",,
18355,13080,"rosea","Atkinson, 1886",,"original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Bourgoin Thierry","15/01/2015",http://hemiptera-databases.com/flow?lang=en&card=name&id=26105&page=explorer&db=flow",,
18381,18380,"namanus","Fennah, 1956",,"original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Bourgoin Thierry","15/01/2015",http://hemiptera-databases.com/flow?lang=en&card=name&id=26137&page=explorer&db=flow",,
18394,10729,"kinbergi","Stål, 1859",,"original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Bourgoin Thierry","15/01/2015",http://hemiptera-databases.com/flow?lang=en&card=name&id=26155&page=explorer&db=flow",,
18395,10729,"civilis","Fennah, 1956",,"original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Bourgoin Thierry","15/01/2015",http://hemiptera-databases.com/flow?lang=en&card=name&id=26156&page=explorer&db=flow",,
18396,10729,"magas","Fennah, 1956",,"original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Bourgoin Thierry","15/01/2015",http://hemiptera-databases.com/flow?lang=en&card=name&id=26157&page=explorer&db=flow",,
18397,10729,"palauana","Fennah, 1956",,"original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Bourgoin Thierry","15/01/2015",http://hemiptera-databases.com/flow?lang=en&card=name&id=26158&page=explorer&db=flow",,
18398,10729,"guahoni","Fennah, 1956",,"original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Bourgoin Thierry","15/01/2015",http://hemiptera-databases.com/flow?lang=en&card=name&id=26159&page=explorer&db=flow",,
18399,10729,"kusaieana","Fennah, 1956",,"original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Bourgoin Thierry","15/01/2015",http://hemiptera-databases.com/flow?lang=en&card=name&id=26160&page=explorer&db=flow",,
18406,3046,"fistulator","Fennah, 1956",,"original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Bourgoin Thierry","15/01/2015",http://hemiptera-databases.com/flow?lang=en&card=name&id=26169&page=explorer&db=flow",,
