"AcceptedTaxonID","DistributionElement","StandardInUse","DistributionStatus"
374,"BAHOO","TDWG Level 4 code","native"
374,"FLAOO","TDWG Level 4 code","native"
375,"84","TDWG Level 4 code","native"
375,"AGEBA,AGECH,AGECN,AGECO,AGEDF,AGEER,AGEFO,AGELP,AGEMI,AGSCB,AGSNE,AGSRN,AGSSC,AGESF,AGSTF,AGWCA,AGWJU,AGWLR,AGWME,AGWSA,AGWSE,AGWSJ,AGWSL,AGWTU","TDWG Level 4 code","native"
375,"PAROO","TDWG Level 4 code","native"
376,"84","TDWG Level 4 code","native"
376,"AGEBA,AGECH,AGECN,AGECO,AGEDF,AGEER,AGEFO,AGELP,AGEMI,AGSCB,AGSNE,AGSRN,AGSSC,AGESF,AGSTF,AGWCA,AGWJU,AGWLR,AGWME,AGWSA,AGWSE,AGWSJ,AGWSL,AGWTU","TDWG Level 4 code","native"
377,"84","TDWG Level 4 code","native"
378,"84","TDWG Level 4 code","native"
379,"CUBOO","TDWG Level 4 code","native"
380,"CUBOO","TDWG Level 4 code","native"
380,"DOMOO","TDWG Level 4 code","native"
380,"HAIHA","TDWG Level 4 code","native"
380,"JAMOO","TDWG Level 4 code","native"
380,"PUEOO","TDWG Level 4 code","native"
381,"LEE","TDWG Level 4 code","native"
382,"84","TDWG Level 4 code","native"
382,"BOLOO","TDWG Level 4 code","native"
383,"84","TDWG Level 4 code","native"
383,"AGEBA,AGECH,AGECN,AGECO,AGEDF,AGEER,AGEFO,AGELP,AGEMI,AGSCB,AGSNE,AGSRN,AGSSC,AGESF,AGSTF,AGWCA,AGWJU,AGWLR,AGWME,AGWSA,AGWSE,AGWSJ,AGWSL,AGWTU","TDWG Level 4 code","native"
383,"PEROO","TDWG Level 4 code","native"
384,"84","TDWG Level 4 code","native"
385,"ZAIOO","TDWG Level 4 code","native"
385,"ITAIT","TDWG Level 4 code","native"
385,"IND","TDWG Level 4 code","native"
385,"JAW","TDWG Level 4 code","native"
385,"27","TDWG Level 4 code","native"
385,"26","TDWG Level 4 code","native"
385,"MOZOO","TDWG Level 4 code","native"
385,"CONOO","TDWG Level 4 code","native"
385,"BOR","TDWG Level 4 code","native"
385,"41","TDWG Level 4 code","native"
385,"KENOO","TDWG Level 4 code","native"
385,"SUM","TDWG Level 4 code","native"
386,"QLDQU","TDWG Level 4 code","native"
387,"79","TDWG Level 4 code","native"
387,"HONOO","TDWG Level 4 code","native"
388,"GUAOO","TDWG Level 4 code","native"
389,"PANOO","TDWG Level 4 code","native"
390,"84","TDWG Level 4 code","native"
391,"84","TDWG Level 4 code","native"
392,"84","TDWG Level 4 code","native"
393,"84","TDWG Level 4 code","native"
394,"ALAOO,ALUOO,ARIOO,ARKOO,ASKOO,CALOO,CNTOO,COLOO,DELOO,FLAOO,GEOOO,IDAOO,ILLOO,INIOO,IOWOO,KANOO,KTYOO,LOUOO,MAIOO,MASOO,MICOO,MINOO,MNTOO,MRYOO,MSIOO,MSOOO,NCAOO,NDAOO,NEBOO,NEVOO,NWHOO,NWJOO,NWMOO,NWYOO,OHIOO,OKLOO,OREOO,PENOO,RHOOO,SCAOO,SDAOO,TENOO,TEXOO,UTAOO,VEROO,VRGOO,WASOO,WDCOO,WISOO,WVAOO,WYOOO,HAWHI","TDWG Level 4 code","native"
395,"84","TDWG Level 4 code","native"
396,"EHMBH","TDWG Level 4 code","native"
397,"NWGPN","TDWG Level 4 code","native"
398,"NWGPN","TDWG Level 4 code","native"
399,"COSOO","TDWG Level 4 code","native"
400,"PANOO","TDWG Level 4 code","native"
401,"84","TDWG Level 4 code","native"
401,"PAROO","TDWG Level 4 code","native"
402,"NWGPN","TDWG Level 4 code","native"
403,"ANGOO","TDWG Level 4 code","native"
403,"CAFOO","TDWG Level 4 code","native"
403,"CMNOO","TDWG Level 4 code","native"
403,"IVOOO","TDWG Level 4 code","native"
403,"NGAOO","TDWG Level 4 code","native"
403,"SUDOO","TDWG Level 4 code","native"
404,"MDGOO","TDWG Level 4 code","native"
405,"IVOOO","TDWG Level 4 code","native"
406,"IVOOO","TDWG Level 4 code","native"
406,"NGAOO","TDWG Level 4 code","native"
407,"ZAIOO","TDWG Level 4 code","native"
408,"NGAOO","TDWG Level 4 code","native"
409,"26","TDWG Level 4 code","native"
410,"ETHOO","TDWG Level 4 code","native"
411,"IVOOO","TDWG Level 4 code","native"
411,"NGROO","TDWG Level 4 code","native"
411,"SENOO","TDWG Level 4 code","native"
411,"SUDOO","TDWG Level 4 code","native"
412,"IND","TDWG Level 4 code","native"
413,"NGAOO","TDWG Level 4 code","native"
414,"NWGPN","TDWG Level 4 code","native"
415,"NWCOO","TDWG Level 4 code","native"
416,"CONOO","TDWG Level 4 code","native"
416,"ZAIOO","TDWG Level 4 code","native"
417,"BUROO","TDWG Level 4 code","native"
417,"CONOO","TDWG Level 4 code","native"
417,"RWAOO","TDWG Level 4 code","native"
417,"ZAIOO","TDWG Level 4 code","native"
418,"ANGOO","TDWG Level 4 code","native"
418,"GUIOO","TDWG Level 4 code","native"
419,"MONOO","TDWG Level 4 code","native"
420,"ANGOO","TDWG Level 4 code","native"
421,"NWGPN","TDWG Level 4 code","native"
422,"26","TDWG Level 4 code","native"
422,"27","TDWG Level 4 code","native"
423,"PALIS","TDWG Level 4 code","native"
424,"SRLOO","TDWG Level 4 code","native"
425,"26","TDWG Level 4 code","native"
425,"27","TDWG Level 4 code","native"
426,"ANGOO","TDWG Level 4 code","native"
427,"GRCOO","TDWG Level 4 code","native"
427,"CYPOO","TDWG Level 4 code","native"
427,"ALGOO","TDWG Level 4 code","native"
427,"YUGSE","TDWG Level 4 code","native"
427,"LBYOO","TDWG Level 4 code","native"
427,"AUTAU","TDWG Level 4 code","native"
427,"LBSSY","TDWG Level 4 code","native"
427,"SICMA","TDWG Level 4 code","native"
427,"PALIS","TDWG Level 4 code","native"
427,"PAL","TDWG Level 4 code","native"
427,"FRAFR","TDWG Level 4 code","native"
427,"EGYOO","TDWG Level 4 code","native"
427,"GEROO","TDWG Level 4 code","native"
427,"YUGCR","TDWG Level 4 code","native"
427,"TUNOO","TDWG Level 4 code","native"
427,"BULOO","TDWG Level 4 code","native"
427,"YUGBH","TDWG Level 4 code","native"
427,"HUNOO","TDWG Level 4 code","native"
427,"CZESK","TDWG Level 4 code","native"
427,"ITAIT","TDWG Level 4 code","native"
427,"YUGMN","TDWG Level 4 code","native"
427,"ALBOO","TDWG Level 4 code","native"
427,"YUGMA","TDWG Level 4 code","native"
427,"MORMO","TDWG Level 4 code","native"
427,"YUGSL","TDWG Level 4 code","native"
427,"POROO","TDWG Level 4 code","native"
427,"SPASP","TDWG Level 4 code","native"
427,"TUROO","TDWG Level 4 code","native"
427,"LBSLB","TDWG Level 4 code","native"
427,"UKRMO","TDWG Level 4 code","native"
427,"YUG","TDWG Level 4 code","native"
427,"ROMOO","TDWG Level 4 code","native"
427,"POLOO","TDWG Level 4 code","native"
427,"CZECZ","TDWG Level 4 code","native"
428,"26","TDWG Level 4 code","native"
428,"27","TDWG Level 4 code","native"
429,"EGYOO","TDWG Level 4 code","native"
429,"TANOO","TDWG Level 4 code","native"
430,"33","TDWG Level 4 code","native"
430,"GRCOO","TDWG Level 4 code","native"
430,"KRYOO","TDWG Level 4 code","native"
430,"TUROO","TDWG Level 4 code","native"
431,"BOTOO","TDWG Level 4 code","native"
432,"26","TDWG Level 4 code","native"
432,"27","TDWG Level 4 code","native"
433,"SRLOO","TDWG Level 4 code","native"
