"ID","AcceptedTaxonID","Genus","SubGenusName","Species","AuthorString","InfraSpecies","InfraSpecificMarker","InfraSpecificAuthorString","GSDNameStatus","Sp2000NameStatus","GSDNameGUI"
2784,2310,"Pseudousambius","","overlaeti","De Muizon, 1955","",,"","original combination, valid: No","Unambiguous Synonym",
2785,1930,"Schizoadidactus","","aethiops","Kleine, 1916","",,"","original combination, valid: No","Unambiguous Synonym",
2788,2491,"Protosebus","","piceus","Kleine, 1922","",,"","original combination, valid: No","Unambiguous Synonym",
2789,1668,"Glaucocephalus","","robustus","Kleine, 1916","",,"","original combination, valid: No","Unambiguous Synonym",
2792,860,"Calodromus","","wahlbergii","Fåhraeus, 1871","",,"","original combination, valid: No","Unambiguous Synonym",
2793,860,"Usambius","","conradti","Kolbe, 1892","",,"","original combination, valid: No","Unambiguous Synonym",
2794,860,"Usambius","","conradti","","laevis",,"Senna, 1898","original combination, valid: No","Unambiguous Synonym",
2796,2100,"Zemioses","","camerunus","Kleine, 1914","",,"","original combination, valid: No","Unambiguous Synonym",
2797,2100,"Zemioses","","camerunus","","bicolor",,"Kolbe, 1916","original combination, valid: No","Unambiguous Synonym",
2798,2100,"Zemioses","","camerunus","","densepunctatus",,"Kolbe, 1916","original combination, valid: No","Unambiguous Synonym",
2799,2100,"Zemioses","","camerunus","","nigricollis",,"Kolbe, 1916","original combination, valid: No","Unambiguous Synonym",
2800,2100,"Dactylobarus","","carbonarius","Kleine, 1916","",,"","original combination, valid: No","Unambiguous Synonym",
2801,2100,"Dactylobarus","","fraterculus","Kolbe, 1916","",,"","original combination, valid: No","Unambiguous Synonym",
2802,1266,"Araiorrhinus","","sulcifrons","Schedl, 1961","",,"","original combination, valid: No","Unambiguous Synonym",
2803,1712,"Neoceocephalus","","interruptus","De Muizon, 1955","",,"","original combination, valid: No","Unambiguous Synonym",
2804,2003,"Araiorrhinus","","punctifrons","Schedl, 1961","",,"","original combination, valid: No","Unambiguous Synonym",
2805,2017,"Anaraiorrhinus","","agilis","Kleine, 1922","",,"","original combination, valid: No","Unambiguous Synonym",
2806,2269,"Araiorrhinus","","bifurcatus","Schedl, 1961","",,"","original combination, valid: No","Unambiguous Synonym",
2808,1545,"Carcinopisthius","","interrupticosta","Senna, 1898","",,"","original combination, valid: No","Unambiguous Synonym",
2809,1745,"Carcinopisthius","","papuanus","Senna, 1894","",,"","original combination, valid: No","Unambiguous Synonym",
2810,1745,"Pseudotaphroderes","","forficatus","Bolkay, 1911","",,"","original combination, valid: No","Unambiguous Synonym",
2811,1745,"Pseudotaphroderes","","papuanus","Bolkay, 1911","",,"","original combination, valid: No","Unambiguous Synonym",
