"ID","Reference Type","ReferenceID"
1#"TaxAccRef"#570
2#"TaxAccRef"#123
3#"TaxAccRef"#113
4#"TaxAccRef"#411
5#"TaxAccRef"#81
6#"TaxAccRef"#8
7#"TaxAccRef"#357
8#"TaxAccRef"#113
9#"TaxAccRef"#389
10#"TaxAccRef"#84
11#"TaxAccRef"#389
12#"TaxAccRef"#288
13#"TaxAccRef"#81
14#"TaxAccRef"#570
15#"TaxAccRef"#478
16#"TaxAccRef"#415
17#"TaxAccRef"#633
18#"TaxAccRef"#570
19#"TaxAccRef"#456
20#"TaxAccRef"#8
21#"TaxAccRef"#335
22#"TaxAccRef"#113
23#"TaxAccRef"#374
24#"TaxAccRef"#570
25#"TaxAccRef"#8
26#"TaxAccRef"#34
27#"TaxAccRef"#570
28#"TaxAccRef"#388
29#"TaxAccRef"#8
30#"TaxAccRef"#457
31#"TaxAccRef"#80
32#"TaxAccRef"#388
33#"TaxAccRef"#641
34#"TaxAccRef"#167
35#"TaxAccRef"#365
36#"TaxAccRef"#313
37#"TaxAccRef"#526
38#"TaxAccRef"#503
39#"TaxAccRef"#391
40#"TaxAccRef"#132
41#"TaxAccRef"#406
42#"TaxAccRef"#406
43#"TaxAccRef"#391
44#"TaxAccRef"#391
45#"TaxAccRef"#406
46#"TaxAccRef"#24
47#"TaxAccRef"#499
48#"TaxAccRef"#75
49#"TaxAccRef"#422
50#"TaxAccRef"#403
51#"TaxAccRef"#403
52#"TaxAccRef"#403
53#"TaxAccRef"#422
54#"TaxAccRef"#621
55#"TaxAccRef"#75
56#"TaxAccRef"#400
57#"TaxAccRef"#166
58#"TaxAccRef"#187
59#"TaxAccRef"#177
60#"TaxAccRef"#502
61#"TaxAccRef"#83
62#"TaxAccRef"#3
63#"TaxAccRef"#166
64#"TaxAccRef"#3
65#"TaxAccRef"#316
66#"TaxAccRef"#457
67#"TaxAccRef"#171
68#"TaxAccRef"#632
69#"TaxAccRef"#496
70#"TaxAccRef"#114
71#"TaxAccRef"#115
72#"TaxAccRef"#408
73#"TaxAccRef"#116
74#"TaxAccRef"#577
75#"TaxAccRef"#298
76#"TaxAccRef"#507
77#"TaxAccRef"#404
78#"TaxAccRef"#631
79#"TaxAccRef"#127
80#"TaxAccRef"#150
81#"TaxAccRef"#362
82#"TaxAccRef"#1
83#"TaxAccRef"#150
84#"TaxAccRef"#386
85#"TaxAccRef"#404
86#"TaxAccRef"#73
87#"TaxAccRef"#599
88#"TaxAccRef"#34
89#"TaxAccRef"#115
90#"TaxAccRef"#613
91#"TaxAccRef"#27
92#"TaxAccRef"#621
93#"TaxAccRef"#140
94#"TaxAccRef"#362
95#"TaxAccRef"#117
96#"TaxAccRef"#82
97#"TaxAccRef"#523
98#"TaxAccRef"#182
99#"TaxAccRef"#79
100#"TaxAccRef"#159
101#"TaxAccRef"#386
102#"TaxAccRef"#160
103#"TaxAccRef"#486
104#"TaxAccRef"#374
105#"TaxAccRef"#167
106#"TaxAccRef"#82
107#"TaxAccRef"#570
108#"TaxAccRef"#185
109#"TaxAccRef"#140
110#"TaxAccRef"#564
111#"TaxAccRef"#498
112#"TaxAccRef"#414
113#"TaxAccRef"#304
114#"TaxAccRef"#370
115#"TaxAccRef"#194
116#"TaxAccRef"#512
117#"TaxAccRef"#638
118#"TaxAccRef"#589
119#"TaxAccRef"#182
120#"TaxAccRef"#184
121#"TaxAccRef"#475
122#"TaxAccRef"#88
123#"TaxAccRef"#34
124#"TaxAccRef"#179
125#"TaxAccRef"#319
126#"TaxAccRef"#291
127#"TaxAccRef"#376
128#"TaxAccRef"#18
129#"TaxAccRef"#404
130#"TaxAccRef"#493
131#"TaxAccRef"#452
132#"TaxAccRef"#161
133#"TaxAccRef"#620
134#"TaxAccRef"#620
