"ReferenceID","Authors","Year","Title","Details"
39,"Sherlock I. A. & Carneiro M.",1962,"Algumas fêmeas de Phlebotomus do Brasil (Diptera, Psychodidae).","Memórias do Instituto Oswaldo Cruz, (Rio de Janeiro), 60(3): 423-435."
40,"Llanos B. Z.",1961,"Algunos Phlebotomus de la costa norte Peruana. Valles: Tumbes, Piura y Chira.","?:."
41,"Martins A. V., Williams P. & Falcão A. L.",1978,"American sand flies (Diptera, Psychodidae, Phlebotominae).","195 pp. Academia Brasileira de Ciências, Rio de Janeiro (Brazil)."
42,"Fairchild G. B.",1943,"An annotated list of the bloodsucking insects, ticks and mites know from Panama.","American Journal of Tropical Medicine and Hygiene, 23: 569-591."
43,"Zeledón R. & Murillo J.",1983,"Anthropophilic sandflies of Nicaragua, Central America.","Transactions of the Royal Society of Tropical Medicine and Hygiene, 27(2): 280-281."
44,"Aitken T. H. G., Worth C. B. & Tikasingh E. S.",1968,"Arbovirus studies in Bushbush Forest Trinidad, W.I., September 1959 - December 1964. Entomologic studies.","American Journal of Tropical Medicine and Hygiene, 17(2): 253-268."
45,"Barreto P.",1969,"Arthropodos hematófagos del Río Raposo, Valle, Colombia. IV. Psychodidae.","Caldasia, 10(49): 459-472."
46,"Pinto C.",1930,"Phlebótomos. In : Arthrópodes parasitos e transmissores de doenças.","1 Pimenta de Mello & Cia, Rio de Janeiro (Brazil)."
47,"Aguiar G.  M., Vilela M. L., Schuback P. D. A., Soucasaux T. & Azevedo A. C. R.",1985,"Aspectos da ecologia dos flebótomos do Parque Nacional da Serra dos Órgãos, Rio de Janeiro. IV. Freqüência mensal em armadilhas luminosas (Diptera, Psychodidae, Phlebotominae).","Memórias do Instituto Oswaldo Cruz, (Rio de Janeiro), 80(4): 465-482."
48,"Gomes A. C. & Galati E. A. B.",1989,"Aspectos ecológicos da leishmaniose tegumentar americana. 7 - Capacidade vetorial flebotomínea em ambiante florestal primário do sistema da Serra do Mar, regiáo do Vale do Ribeira, Estado de São Paulo, Brasil.","Revista de saúde pública, São Paulo, 23(2): 136-142."
49,"Gomes A. C., Coutinho S. G., Paim G. V., Oliveira S. M. O., Galati E. A. B., Nunes M. P., Capinzaiki A. N., Yamamoto Y. I. & Rotter P.",1990,"Aspectos ecológicos da leishmaniose tegumentar americana. 8 . Avaliação da atividade enzoótica de Leishmania (Viannia) braziliensis, em ambiente florestal e peridomiciliar, região do Vale do Ribeira, Estado de São Paulo, Brasil.","Revista do Instituto de medicina tropical de São Paulo, 32(2): 105-115."
50,"Christensen H. A. & Herrer A.",1973,"Attractiveness of sentinel animals to vectors of leishmaniasis in Panama.","American Journal of Tropical Medicine and Hygiene, 22: 578-584."
51,"Martins A. V. & Silva J. E.",1968,"Barrettomyia n.subg., com a descrição de uma espécie nova e da fêmea de Lutzomyia (Barrettomyia) costalimai (Mangabeira, 1942).","Boletim do Museu de História Natural da Universidade Federal de Minas Gerais, 3: 1-15."
52,"Pifano F., Ortíz I. & Alvarez A.",1962,"Bases taxonómicas para el conocimiento de los Phlebotomus de la región de Guatopo, Venezuela.","Archivos venezolanos de Medicina Tropical y Parasitología Médica, 4(2): 369-428."
144,"Floch H. & Abonnenc E.",1946,"Distribution des phlébotomes en Guyane française.","7 pp. Institut Pasteur de la Guyane et du Territoire de l'Inini, Cayenne (France - French Guiana)."
54,"Le Pont F., Caillard T., Tibayrenc M. & Desjeux P.",1986,"Bolivian phlebotomines. II. Psychodopygus yucumensis n.sp., a new man-biting phlebotomine sandfly from subandean region (Diptera, Psychodidae).","Memórias do Instituto Oswaldo Cruz, (Rio de Janeiro), 81(1): 79-85."
55,"Ready P. D. & Fraiha H.",1981,"Brazilian phlebotomines. VI. Lutzomyia richardwardi sp.n., a new species of Nyssomyia from Amazônia with keys for this subgenus (Diptera, Psychodidae).","Revista brasileira de biologia, (Rio de Janeiro), 41(4): 705-712."
56,"Vexenat J. A., Barreto A. C., Cuba C. C. & Marsden P. D.",1986,"Características epidemiológicas da leishmaniose tegumentar americana em uma região endêmica do Estado da Bahia. III. Fauna flebotomínica.","Memórias do Instituto Oswaldo Cruz, (Rio de Janeiro), 81(3): 293-301."
57,"Fraiha H. & Ward R. D.",1980,"Caracterização do macho de Psychodopygus amazonensis (Root, 1934) (Diptera, Psychodidae, Phlebotominae).","Revista da Fundação de Serviços de Saúde Pública - FSESP -, (Belém), 25(1): 15-19."
58,"Barretto M. P.",1947,"Catálogo dos flebótomos Americanos.","Arquivos de Zoologia do Estado de São Paulo, 5(24): 177-242."
59,"Travassos da Rosa A. P. A., Tesh R. B., Pinheiro F. P., Travassos da Rosa J. F. S., Norman E. & Peterson E.",1983,"Characterization of eight new Phlebotomus fever serogroup arboviruses (Bunyaviridae, Phlebovirus) from the Amazon region of Brazil.","American Journal of Tropical Medicine and Hygiene, 32(5): 1164-1171."
60,"Kreutzer R. D., Corredor A., Grimaldi G., Grogl M., Rowton E., Young D. G., Morales A., Mc Mahon-Pratt D., Guzmán H. & Tesh R. B.",1991,"Characterization of Leishmania colombiensis sp.n. (Kinetoplastida : Trypanosomatidae), a new parasite infecting humans, animals and phlebotomine sandflies in Colombia and Panama.","American Journal of Tropical Medicine and Hygiene, 44(6): 662-675."
61,"Barretto M. P.",1950,"Chaves para os flebótomos Brasileiros (Diptera, Psychodidae).","Anais da Faculdade de medicina da Universidade de São Paulo, 25: 101-117."
62,"Christensen H. A.",1972,"Check list of the phlebotomine sandflies (Diptera: Psychodidae) of Panama including two species not previously reported.","Mosquito News, 32(1): 88-89."
63,"Ward R. D. & Ready P. D.",1975,"Chorionic sculpturing in some sandfly eggs (Diptera, Psychodidae).","Journal of Medical Entomology, 50(2): 127-134."
64,"",,"",""
65,"",,"",""
66,"Buck A. A., Sasaki T. T., Anderson R. I., Hitchcock J. C. & Leigh G. R.",1967,"Comprehensive epidemiologic studies of four contrasting Peruvian villages.","271 pp. Geographic Epidemiology Unit of John's Hopkins University, Baltimore (Maryland) (United States of America)."
67,"Pifano F.",1962,"Comprobación de un foco de leishmaniasis visceral en un sector del pledemonte andino-llanero del Estado Portuguesa.","Archivos venezolanos de Medicina Tropical y Parasitología Médica, 4(2): 3-15."
