"AcceptedTaxonID","DistributionElement","StandardInUse","DistributionStatus"
841,"4","TDWG Level 4 code","native"
843,"4","TDWG Level 4 code","native"
844,"4","TDWG Level 4 code","native"
845,"4","TDWG Level 4 code","native"
846,"4","TDWG Level 4 code","native"
847,"2","TDWG Level 4 code","native"
848,"5","TDWG Level 4 code","native"
849,"4","TDWG Level 4 code","native"
850,"8","TDWG Level 4 code","native"
851,"4","TDWG Level 4 code","native"
852,"2","TDWG Level 4 code","native"
853,"2","TDWG Level 4 code","native"
854,"4","TDWG Level 4 code","native"
855,"2","TDWG Level 4 code","native"
856,"2","TDWG Level 4 code","native"
857,"2","TDWG Level 4 code","native"
858,"8","TDWG Level 4 code","native"
859,"8","TDWG Level 4 code","native"
860,"2","TDWG Level 4 code","native"
861,"4","TDWG Level 4 code","native"
862,"4","TDWG Level 4 code","native"
863,"2","TDWG Level 4 code","native"
864,"8","TDWG Level 4 code","native"
867,"2","TDWG Level 4 code","native"
869,"2","TDWG Level 4 code","native"
870,"4","TDWG Level 4 code","native"
871,"8","TDWG Level 4 code","native"
872,"2","TDWG Level 4 code","native"
873,"4","TDWG Level 4 code","native"
874,"8","TDWG Level 4 code","native"
876,"2","TDWG Level 4 code","native"
877,"4","TDWG Level 4 code","native"
878,"8","TDWG Level 4 code","native"
880,"8","TDWG Level 4 code","native"
881,"2","TDWG Level 4 code","native"
882,"4","TDWG Level 4 code","native"
883,"2","TDWG Level 4 code","native"
884,"2","TDWG Level 4 code","native"
885,"2","TDWG Level 4 code","native"
886,"2","TDWG Level 4 code","native"
887,"4","TDWG Level 4 code","native"
887,"5","TDWG Level 4 code","native"
888,"4","TDWG Level 4 code","native"
889,"4","TDWG Level 4 code","native"
890,"8","TDWG Level 4 code","native"
891,"8","TDWG Level 4 code","native"
892,"4","TDWG Level 4 code","native"
893,"8","TDWG Level 4 code","native"
894,"4","TDWG Level 4 code","native"
895,"2","TDWG Level 4 code","native"
896,"4","TDWG Level 4 code","native"
897,"5","TDWG Level 4 code","native"
898,"4","TDWG Level 4 code","native"
899,"7","TDWG Level 4 code","native"
899,"8","TDWG Level 4 code","native"
900,"2","TDWG Level 4 code","native"
901,"7","TDWG Level 4 code","native"
901,"8","TDWG Level 4 code","native"
901,"84","TDWG Level 4 code","native"
902,"2","TDWG Level 4 code","native"
903,"5","TDWG Level 4 code","native"
904,"4","TDWG Level 4 code","native"
904,"5","TDWG Level 4 code","native"
906,"7","TDWG Level 4 code","native"
906,"8","TDWG Level 4 code","native"
907,"2","TDWG Level 4 code","native"
908,"4","TDWG Level 4 code","native"
909,"4","TDWG Level 4 code","native"
911,"4","TDWG Level 4 code","native"
912,"8","TDWG Level 4 code","native"
914,"2","TDWG Level 4 code","native"
915,"4","TDWG Level 4 code","native"
916,"8","TDWG Level 4 code","native"
918,"8","TDWG Level 4 code","native"
919,"3","TDWG Level 4 code","native"
919,"8","TDWG Level 4 code","native"
920,"2","TDWG Level 4 code","native"
922,"8","TDWG Level 4 code","native"
923,"8","TDWG Level 4 code","native"
924,"4","TDWG Level 4 code","native"
925,"4","TDWG Level 4 code","native"
926,"2","TDWG Level 4 code","native"
927,"2","TDWG Level 4 code","native"
928,"4","TDWG Level 4 code","native"
929,"2","TDWG Level 4 code","native"
930,"4","TDWG Level 4 code","native"
931,"8","TDWG Level 4 code","native"
932,"7","TDWG Level 4 code","native"
932,"8","TDWG Level 4 code","native"
933,"2","TDWG Level 4 code","native"
934,"7","TDWG Level 4 code","native"
935,"3","TDWG Level 4 code","native"
936,"3","TDWG Level 4 code","native"
937,"4","TDWG Level 4 code","native"
938,"2","TDWG Level 4 code","native"
939,"8","TDWG Level 4 code","native"
940,"8","TDWG Level 4 code","native"
941,"4","TDWG Level 4 code","native"
942,"4","TDWG Level 4 code","native"
943,"4","TDWG Level 4 code","native"
944,"8","TDWG Level 4 code","native"
945,"4","TDWG Level 4 code","native"
946,"7","TDWG Level 4 code","native"
946,"8","TDWG Level 4 code","native"
947,"8","TDWG Level 4 code","native"
948,"4","TDWG Level 4 code","native"
949,"4","TDWG Level 4 code","native"
950,"8","TDWG Level 4 code","native"
951,"4","TDWG Level 4 code","native"
952,"4","TDWG Level 4 code","native"
953,"2","TDWG Level 4 code","native"
955,"2","TDWG Level 4 code","native"
957,"2","TDWG Level 4 code","native"
958,"4","TDWG Level 4 code","native"
959,"2","TDWG Level 4 code","native"
960,"2","TDWG Level 4 code","native"
963,"2","TDWG Level 4 code","native"
964,"4","TDWG Level 4 code","native"
965,"7","TDWG Level 4 code","native"
965,"8","TDWG Level 4 code","native"
966,"4","TDWG Level 4 code","native"
967,"8","TDWG Level 4 code","native"
968,"7","TDWG Level 4 code","native"
968,"8","TDWG Level 4 code","native"
969,"8","TDWG Level 4 code","native"
970,"5","TDWG Level 4 code","native"
971,"5","TDWG Level 4 code","native"
972,"5","TDWG Level 4 code","native"
974,"7","TDWG Level 4 code","native"
974,"8","TDWG Level 4 code","native"
975,"2","TDWG Level 4 code","native"
976,"4","TDWG Level 4 code","native"
977,"8","TDWG Level 4 code","native"
978,"4","TDWG Level 4 code","native"
979,"4","TDWG Level 4 code","native"
980,"4","TDWG Level 4 code","native"
981,"4","TDWG Level 4 code","native"
982,"5","TDWG Level 4 code","native"
982,"6","TDWG Level 4 code","native"
983,"5","TDWG Level 4 code","native"
984,"5","TDWG Level 4 code","native"
985,"8","TDWG Level 4 code","native"
986,"4","TDWG Level 4 code","native"
987,"4","TDWG Level 4 code","native"
988,"2","TDWG Level 4 code","native"
989,"8","TDWG Level 4 code","native"
990,"4","TDWG Level 4 code","native"
991,"4","TDWG Level 4 code","native"
992,"2","TDWG Level 4 code","native"
993,"8","TDWG Level 4 code","native"
994,"4","TDWG Level 4 code","native"
995,"3","TDWG Level 4 code","native"
996,"8","TDWG Level 4 code","native"
997,"8","TDWG Level 4 code","native"
998,"8","TDWG Level 4 code","native"
999,"4","TDWG Level 4 code","native"
1002,"4","TDWG Level 4 code","native"
1003,"4","TDWG Level 4 code","native"
1004,"4","TDWG Level 4 code","native"
1005,"8","TDWG Level 4 code","native"
1006,"4","TDWG Level 4 code","native"
1007,"2","TDWG Level 4 code","native"
1008,"4","TDWG Level 4 code","native"
1010,"4","TDWG Level 4 code","native"
1011,"4","TDWG Level 4 code","native"
1012,"2","TDWG Level 4 code","native"
1013,"8","TDWG Level 4 code","native"
1014,"4","TDWG Level 4 code","native"
1015,"4","TDWG Level 4 code","native"
1016,"2","TDWG Level 4 code","native"
1017,"2","TDWG Level 4 code","native"
1018,"4","TDWG Level 4 code","native"
1019,"4","TDWG Level 4 code","native"
1021,"4","TDWG Level 4 code","native"
1022,"4","TDWG Level 4 code","native"
1023,"5","TDWG Level 4 code","native"
1024,"4","TDWG Level 4 code","native"
1025,"4","TDWG Level 4 code","native"
1027,"4","TDWG Level 4 code","native"
1029,"4","TDWG Level 4 code","native"
1030,"3","TDWG Level 4 code","native"
1030,"4","TDWG Level 4 code","native"
1031,"2","TDWG Level 4 code","native"
1032,"2","TDWG Level 4 code","native"
1033,"4","TDWG Level 4 code","native"
1034,"8","TDWG Level 4 code","native"
1035,"8","TDWG Level 4 code","native"
1036,"8","TDWG Level 4 code","native"
1037,"4","TDWG Level 4 code","native"
1038,"4","TDWG Level 4 code","native"
1039,"4","TDWG Level 4 code","native"
1040,"4","TDWG Level 4 code","native"
1041,"4","TDWG Level 4 code","native"
1043,"4","TDWG Level 4 code","native"
1044,"4","TDWG Level 4 code","native"
1045,"8","TDWG Level 4 code","native"
1046,"8","TDWG Level 4 code","native"
1047,"8","TDWG Level 4 code","native"
1048,"8","TDWG Level 4 code","native"
1049,"4","TDWG Level 4 code","native"
1050,"8","TDWG Level 4 code","native"
1051,"3","TDWG Level 4 code","native"
1051,"4","TDWG Level 4 code","native"
1053,"7","TDWG Level 4 code","native"
1053,"8","TDWG Level 4 code","native"
1054,"8","TDWG Level 4 code","native"
1055,"8","TDWG Level 4 code","native"
1056,"2","TDWG Level 4 code","native"
1057,"4","TDWG Level 4 code","native"
1058,"4","TDWG Level 4 code","native"
1060,"4","TDWG Level 4 code","native"
1061,"2","TDWG Level 4 code","native"
1063,"2","TDWG Level 4 code","native"
1064,"4","TDWG Level 4 code","native"
1065,"2","TDWG Level 4 code","native"
1066,"2","TDWG Level 4 code","native"
1067,"4","TDWG Level 4 code","native"
1068,"8","TDWG Level 4 code","native"
1069,"2","TDWG Level 4 code","native"
1070,"2","TDWG Level 4 code","native"
1071,"8","TDWG Level 4 code","native"
1072,"4","TDWG Level 4 code","native"
1073,"4","TDWG Level 4 code","native"
1074,"2","TDWG Level 4 code","native"
1075,"2","TDWG Level 4 code","native"
1076,"4","TDWG Level 4 code","native"
1077,"7","TDWG Level 4 code","native"
1077,"8","TDWG Level 4 code","native"
1078,"4","TDWG Level 4 code","native"
1079,"4","TDWG Level 4 code","native"
1080,"8","TDWG Level 4 code","native"
1081,"4","TDWG Level 4 code","native"
1082,"4","TDWG Level 4 code","native"
1083,"6","TDWG Level 4 code","native"
1084,"4","TDWG Level 4 code","native"
1086,"4","TDWG Level 4 code","native"
1087,"8","TDWG Level 4 code","native"
1088,"4","TDWG Level 4 code","native"
1089,"4","TDWG Level 4 code","native"
1090,"2","TDWG Level 4 code","native"
1091,"4","TDWG Level 4 code","native"
1092,"4","TDWG Level 4 code","native"
1094,"4","TDWG Level 4 code","native"
1095,"4","TDWG Level 4 code","native"
1096,"8","TDWG Level 4 code","native"
1097,"3","TDWG Level 4 code","native"
1098,"4","TDWG Level 4 code","native"
1099,"3","TDWG Level 4 code","native"
1099,"4","TDWG Level 4 code","native"
1100,"8","TDWG Level 4 code","native"
1101,"4","TDWG Level 4 code","native"
1102,"4","TDWG Level 4 code","native"
1103,"8","TDWG Level 4 code","native"
1104,"8","TDWG Level 4 code","native"
1105,"8","TDWG Level 4 code","native"
1106,"3","TDWG Level 4 code","native"
1107,"4","TDWG Level 4 code","native"
1108,"4","TDWG Level 4 code","native"
1109,"4","TDWG Level 4 code","native"
1110,"4","TDWG Level 4 code","native"
1111,"4","TDWG Level 4 code","native"
1112,"8","TDWG Level 4 code","native"
1113,"8","TDWG Level 4 code","native"
1114,"8","TDWG Level 4 code","native"
1115,"7","TDWG Level 4 code","native"
1115,"8","TDWG Level 4 code","native"
1116,"4","TDWG Level 4 code","native"
1117,"3","TDWG Level 4 code","native"
1118,"8","TDWG Level 4 code","native"
1119,"4","TDWG Level 4 code","native"
1120,"8","TDWG Level 4 code","native"
1121,"4","TDWG Level 4 code","native"
1122,"4","TDWG Level 4 code","native"
1123,"4","TDWG Level 4 code","native"
1124,"8","TDWG Level 4 code","native"
1125,"8","TDWG Level 4 code","native"
1126,"8","TDWG Level 4 code","native"
1127,"8","TDWG Level 4 code","native"
1128,"4","TDWG Level 4 code","native"
1129,"8","TDWG Level 4 code","native"
1130,"4","TDWG Level 4 code","native"
1132,"8","TDWG Level 4 code","native"
1133,"4","TDWG Level 4 code","native"
1135,"2","TDWG Level 4 code","native"
1136,"2","TDWG Level 4 code","native"
1137,"4","TDWG Level 4 code","native"
1138,"8","TDWG Level 4 code","native"
1139,"8","TDWG Level 4 code","native"
1140,"4","TDWG Level 4 code","native"
1141,"4","TDWG Level 4 code","native"
1142,"4","TDWG Level 4 code","native"
1143,"4","TDWG Level 4 code","native"
1144,"2","TDWG Level 4 code","native"
1145,"2","TDWG Level 4 code","native"
1146,"4","TDWG Level 4 code","native"
1147,"4","TDWG Level 4 code","native"
1148,"8","TDWG Level 4 code","native"
1149,"4","TDWG Level 4 code","native"
1150,"6","TDWG Level 4 code","native"
1151,"4","TDWG Level 4 code","native"
1152,"4","TDWG Level 4 code","native"
1153,"2","TDWG Level 4 code","native"
1154,"4","TDWG Level 4 code","native"
1154,"5","TDWG Level 4 code","native"
1155,"2","TDWG Level 4 code","native"
1157,"4","TDWG Level 4 code","native"
1158,"4","TDWG Level 4 code","native"
1159,"4","TDWG Level 4 code","native"
1160,"4","TDWG Level 4 code","native"
1161,"4","TDWG Level 4 code","native"
1162,"2","TDWG Level 4 code","native"
1163,"7","TDWG Level 4 code","native"
1163,"8","TDWG Level 4 code","native"
1164,"4","TDWG Level 4 code","native"
1165,"4","TDWG Level 4 code","native"
1166,"3","TDWG Level 4 code","native"
1166,"4","TDWG Level 4 code","native"
1167,"4","TDWG Level 4 code","native"
1168,"4","TDWG Level 4 code","native"
1169,"8","TDWG Level 4 code","native"
1170,"4","TDWG Level 4 code","native"
1171,"4","TDWG Level 4 code","native"
1172,"4","TDWG Level 4 code","native"
1174,"8","TDWG Level 4 code","native"
1175,"2","TDWG Level 4 code","native"
1176,"4","TDWG Level 4 code","native"
1177,"4","TDWG Level 4 code","native"
1178,"4","TDWG Level 4 code","native"
1179,"4","TDWG Level 4 code","native"
1180,"2","TDWG Level 4 code","native"
1181,"4","TDWG Level 4 code","native"
1182,"2","TDWG Level 4 code","native"
1183,"8","TDWG Level 4 code","native"
1184,"4","TDWG Level 4 code","native"
1185,"8","TDWG Level 4 code","native"
1186,"3","TDWG Level 4 code","native"
1187,"4","TDWG Level 4 code","native"
1188,"4","TDWG Level 4 code","native"
1189,"2","TDWG Level 4 code","native"
1190,"4","TDWG Level 4 code","native"
1191,"4","TDWG Level 4 code","native"
1192,"4","TDWG Level 4 code","native"
1193,"4","TDWG Level 4 code","native"
1195,"4","TDWG Level 4 code","native"
1196,"4","TDWG Level 4 code","native"
1197,"4","TDWG Level 4 code","native"
1198,"4","TDWG Level 4 code","native"
1199,"4","TDWG Level 4 code","native"
1200,"4","TDWG Level 4 code","native"
1201,"4","TDWG Level 4 code","native"
1202,"4","TDWG Level 4 code","native"
1204,"4","TDWG Level 4 code","native"
1205,"2","TDWG Level 4 code","native"
1206,"4","TDWG Level 4 code","native"
1207,"2","TDWG Level 4 code","native"
1208,"4","TDWG Level 4 code","native"
1209,"2","TDWG Level 4 code","native"
1210,"3","TDWG Level 4 code","native"
1210,"1","TDWG Level 4 code","native"
1210,"2","TDWG Level 4 code","native"
1211,"4","TDWG Level 4 code","native"
1212,"4","TDWG Level 4 code","native"
1214,"4","TDWG Level 4 code","native"
1215,"2","TDWG Level 4 code","native"
1216,"2","TDWG Level 4 code","native"
1217,"2","TDWG Level 4 code","native"
1218,"4","TDWG Level 4 code","native"
1219,"8","TDWG Level 4 code","native"
1220,"4","TDWG Level 4 code","native"
1222,"3","TDWG Level 4 code","native"
1222,"4","TDWG Level 4 code","native"
1223,"5","TDWG Level 4 code","native"
1224,"4","TDWG Level 4 code","native"
1225,"4","TDWG Level 4 code","native"
1228,"2","TDWG Level 4 code","native"
1230,"4","TDWG Level 4 code","native"
1231,"8","TDWG Level 4 code","native"
1232,"3","TDWG Level 4 code","native"
1232,"4","TDWG Level 4 code","native"
1233,"8","TDWG Level 4 code","native"
1234,"4","TDWG Level 4 code","native"
1235,"4","TDWG Level 4 code","native"
1236,"4","TDWG Level 4 code","native"
1237,"2","TDWG Level 4 code","native"
1238,"6","TDWG Level 4 code","native"
1239,"4","TDWG Level 4 code","native"
1240,"4","TDWG Level 4 code","native"
1241,"4","TDWG Level 4 code","native"
1242,"4","TDWG Level 4 code","native"
1243,"2","TDWG Level 4 code","native"
1245,"4","TDWG Level 4 code","native"
1246,"8","TDWG Level 4 code","native"
1248,"4","TDWG Level 4 code","native"
1249,"4","TDWG Level 4 code","native"
1250,"4","TDWG Level 4 code","native"
1252,"3","TDWG Level 4 code","native"
1252,"4","TDWG Level 4 code","native"
1253,"8","TDWG Level 4 code","native"
1254,"8","TDWG Level 4 code","native"
1256,"3","TDWG Level 4 code","native"
1257,"8","TDWG Level 4 code","native"
1258,"4","TDWG Level 4 code","native"
1259,"2","TDWG Level 4 code","native"
1260,"8","TDWG Level 4 code","native"
1261,"4","TDWG Level 4 code","native"
1262,"8","TDWG Level 4 code","native"
1263,"4","TDWG Level 4 code","native"
1264,"4","TDWG Level 4 code","native"
1265,"2","TDWG Level 4 code","native"
1266,"2","TDWG Level 4 code","native"
1267,"2","TDWG Level 4 code","native"
1268,"2","TDWG Level 4 code","native"
1269,"4","TDWG Level 4 code","native"
1269,"5","TDWG Level 4 code","native"
1270,"4","TDWG Level 4 code","native"
1271,"8","TDWG Level 4 code","native"
1272,"2","TDWG Level 4 code","native"
1273,"4","TDWG Level 4 code","native"
1274,"4","TDWG Level 4 code","native"
1275,"4","TDWG Level 4 code","native"
1276,"4","TDWG Level 4 code","native"
1277,"2","TDWG Level 4 code","native"
1278,"4","TDWG Level 4 code","native"
1279,"4","TDWG Level 4 code","native"
1280,"4","TDWG Level 4 code","native"
1281,"2","TDWG Level 4 code","native"
1282,"4","TDWG Level 4 code","native"
1283,"4","TDWG Level 4 code","native"
1284,"4","TDWG Level 4 code","native"
1284,"5","TDWG Level 4 code","native"
1285,"5","TDWG Level 4 code","native"
1286,"4","TDWG Level 4 code","native"
1287,"4","TDWG Level 4 code","native"
1288,"4","TDWG Level 4 code","native"
1289,"4","TDWG Level 4 code","native"
1290,"8","TDWG Level 4 code","native"
1291,"4","TDWG Level 4 code","native"
1292,"4","TDWG Level 4 code","native"
1293,"7","TDWG Level 4 code","native"
1293,"8","TDWG Level 4 code","native"
1294,"8","TDWG Level 4 code","native"
1295,"4","TDWG Level 4 code","native"
1296,"8","TDWG Level 4 code","native"
1297,"8","TDWG Level 4 code","native"
1298,"2","TDWG Level 4 code","native"
1299,"8","TDWG Level 4 code","native"
1300,"2","TDWG Level 4 code","native"
1301,"8","TDWG Level 4 code","native"
1302,"4","TDWG Level 4 code","native"
1303,"4","TDWG Level 4 code","native"
1304,"4","TDWG Level 4 code","native"
1306,"4","TDWG Level 4 code","native"
1307,"2","TDWG Level 4 code","native"
1308,"4","TDWG Level 4 code","native"
1309,"2","TDWG Level 4 code","native"
1310,"4","TDWG Level 4 code","native"
1310,"5","TDWG Level 4 code","native"
1311,"5","TDWG Level 4 code","native"
1312,"4","TDWG Level 4 code","native"
1313,"4","TDWG Level 4 code","native"
1314,"7","TDWG Level 4 code","native"
1314,"8","TDWG Level 4 code","native"
1315,"4","TDWG Level 4 code","native"
1316,"8","TDWG Level 4 code","native"
1317,"2","TDWG Level 4 code","native"
1318,"4","TDWG Level 4 code","native"
1318,"6","TDWG Level 4 code","native"
1318,"5","TDWG Level 4 code","native"
1319,"8","TDWG Level 4 code","native"
1320,"5","TDWG Level 4 code","native"
1321,"8","TDWG Level 4 code","native"
1322,"3","TDWG Level 4 code","native"
1322,"4","TDWG Level 4 code","native"
1323,"8","TDWG Level 4 code","native"
1324,"8","TDWG Level 4 code","native"
1325,"7","TDWG Level 4 code","native"
1325,"8","TDWG Level 4 code","native"
1326,"8","TDWG Level 4 code","native"
1327,"4","TDWG Level 4 code","native"
1328,"4","TDWG Level 4 code","native"
1329,"2","TDWG Level 4 code","native"
1330,"4","TDWG Level 4 code","native"
1331,"4","TDWG Level 4 code","native"
1332,"7","TDWG Level 4 code","native"
1332,"8","TDWG Level 4 code","native"
1333,"2","TDWG Level 4 code","native"
1334,"2","TDWG Level 4 code","native"
1335,"4","TDWG Level 4 code","native"
1336,"4","TDWG Level 4 code","native"
1337,"2","TDWG Level 4 code","native"
1338,"2","TDWG Level 4 code","native"
1339,"2","TDWG Level 4 code","native"
1340,"4","TDWG Level 4 code","native"
1341,"8","TDWG Level 4 code","native"
1342,"8","TDWG Level 4 code","native"
1343,"4","TDWG Level 4 code","native"
1344,"4","TDWG Level 4 code","native"
1345,"8","TDWG Level 4 code","native"
1347,"4","TDWG Level 4 code","native"
1348,"2","TDWG Level 4 code","native"
1349,"4","TDWG Level 4 code","native"
1349,"5","TDWG Level 4 code","native"
1350,"7","TDWG Level 4 code","native"
1350,"8","TDWG Level 4 code","native"
1352,"4","TDWG Level 4 code","native"
1352,"6","TDWG Level 4 code","native"
1352,"5","TDWG Level 4 code","native"
1353,"4","TDWG Level 4 code","native"
1355,"4","TDWG Level 4 code","native"
1356,"4","TDWG Level 4 code","native"
1357,"4","TDWG Level 4 code","native"
1358,"8","TDWG Level 4 code","native"
1360,"8","TDWG Level 4 code","native"
1361,"8","TDWG Level 4 code","native"
1362,"8","TDWG Level 4 code","native"
1363,"4","TDWG Level 4 code","native"
1364,"4","TDWG Level 4 code","native"
1365,"4","TDWG Level 4 code","native"
1368,"8","TDWG Level 4 code","native"
1369,"2","TDWG Level 4 code","native"
1370,"8","TDWG Level 4 code","native"
1371,"8","TDWG Level 4 code","native"
1372,"4","TDWG Level 4 code","native"
1372,"5","TDWG Level 4 code","native"
1373,"4","TDWG Level 4 code","native"
1374,"4","TDWG Level 4 code","native"
1375,"4","TDWG Level 4 code","native"
1376,"8","TDWG Level 4 code","native"
1377,"4","TDWG Level 4 code","native"
1378,"2","TDWG Level 4 code","native"
1379,"4","TDWG Level 4 code","native"
1380,"7","TDWG Level 4 code","native"
1380,"8","TDWG Level 4 code","native"
1381,"8","TDWG Level 4 code","native"
1382,"8","TDWG Level 4 code","native"
1383,"8","TDWG Level 4 code","native"
1384,"4","TDWG Level 4 code","native"
1385,"4","TDWG Level 4 code","native"
1387,"2","TDWG Level 4 code","native"
1388,"4","TDWG Level 4 code","native"
1389,"4","TDWG Level 4 code","native"
1392,"8","TDWG Level 4 code","native"
1393,"8","TDWG Level 4 code","native"
1394,"4","TDWG Level 4 code","native"
1395,"2","TDWG Level 4 code","native"
1397,"8","TDWG Level 4 code","native"
